Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::fork	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	int	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::name	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	java.lang.String	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate::date	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate	java.util.Date	FALSE	private	unknownLib	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList::numbers	us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList	us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList	java.util.List<java.lang.Integer>	FALSE	private	unknownLib	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::star	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	int	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.DefaultConnectionReuseStrategy::INSTANCE	org.apache.http.impl.DefaultConnectionReuseStrategy	org.apache.http.impl.DefaultConnectionReuseStrategy	org.apache.http.impl.DefaultConnectionReuseStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	6
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList::links	us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList	us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList	java.util.List<java.lang.String>	FALSE	private	unknownLib	TRUE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.entity.ContentType::APPLICATION_FORM_URLENCODED	org.apache.http.entity.ContentType	org.apache.http.entity.ContentType	org.apache.http.entity.ContentType	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.Consts::UTF_8	org.apache.http.Consts	org.apache.http.Consts	java.nio.charset.Charset	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	8
com.jayway.jsonpath:json-path:2.4.0	net.minidev.json.writer.JsonReader::DEFAULT_ORDERED	net.minidev.json.writer.JsonReader	net.minidev.json.writer.JsonReader	net.minidev.json.writer.JsonReaderI<net.minidev.json.JSONAwareEx>	FALSE	public	net.minidev:json-smart:2.3	FALSE	2
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl::name	us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl	us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl	java.lang.String	FALSE	private	unknownLib	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList::dates	us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList	us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList	java.util.List<java.util.Date>	FALSE	private	unknownLib	TRUE	1
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::DEBUG	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	12
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.entity.StrictContentLengthStrategy::INSTANCE	org.apache.http.impl.entity.StrictContentLengthStrategy	org.apache.http.impl.entity.StrictContentLengthStrategy	org.apache.http.impl.entity.StrictContentLengthStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt::number	us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt	us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt	int	FALSE	private	unknownLib	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::language	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	java.util.List<java.lang.String>	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.DefaultHttpResponseFactory::INSTANCE	org.apache.http.impl.DefaultHttpResponseFactory	org.apache.http.impl.DefaultHttpResponseFactory	org.apache.http.impl.DefaultHttpResponseFactory	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	2
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::readme	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	java.lang.String	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
commons-logging:commons-logging:1.2	org.apache.log4j.Level::ERROR	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
commons-logging:commons-logging:1.2	org.apache.log4j.Level::FATAL	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr::dateStr	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr	java.lang.String	FALSE	private	unknownLib	TRUE	1
commons-logging:commons-logging:1.2	org.apache.log4j.Level::WARN	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::ERROR	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	10
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::WARN	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	10
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::author	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	java.lang.String	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
us.codecraft:webmagic-extension:0.7.3	us.codecraft.webmagic.example.GithubRepo::url	us.codecraft.webmagic.example.GithubRepo	us.codecraft.webmagic.example.GithubRepo	java.lang.String	FALSE	private	us.codecraft:webmagic-extension:0.7.3	TRUE	1
