Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
org.apache.http.impl.cookie.RFC6265LaxSpec,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
us.codecraft.webmagic.downloader.HttpClientDownloader,-,-,us.codecraft:webmagic-core:0.7.3,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.RedirectException,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.cookie.AbstractCookieAttributeHandler,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.util.PublicSuffixMatcher,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.conn.LoggingOutputStream,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.NotThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.methods.RequestBuilder,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.NotThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.auth.SPNegoSchemeFactory,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.ConnectTimeoutException,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.cookie.BasicSecureHandler,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.util.PublicSuffixList,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.NonRepeatableRequestException,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.auth.NTLMSchemeFactory,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.utils.URIUtils,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.conn.ManagedHttpClientConnectionFactory,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.cookie.NetscapeDraftSpecProvider,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Obsolete,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.util.PublicSuffixMatcherLoader,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.protocol.RequestExpectContinue,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.client.CloseableHttpClient,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.UnsupportedSchemeException,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
us.codecraft.webmagic.configurable.ConfigurablePageProcessor,-,-,us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.utils.Experimental,public,us.codecraft:webmagic-core:0.7.3,1
org.apache.http.conn.ssl.SSLConnectionSocketFactory,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
