Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
org.glassfish.jersey.internal.inject.JerseyClassAnalyzer,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.MonthDayFormatter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.Jsr310DateTimeFormatAnnotationFormatterFactory,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalDateConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$CalendarToInstantConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.message.internal.StreamingOutputProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.message.internal.ReaderProvider,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.inject.Singleton,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.context.support.ContextTypeMatchClassLoader,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava7,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalDateConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.hk2.api.Immediate,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalDateTimeConverter,-,-,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.lang.UsesJava8,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.provider.DataSourceProvider,-,-,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.Provider,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.glassfish.hk2.api.InheritableThread,-,-,org.glassfish.hk2:hk2-api:2.5.0-b05,javax.inject.Scope,public,org.glassfish.hk2.external:javax.inject:2.5.0-b05,1
org.glassfish.jersey.logging.ClientLoggingFilter,-,-,org.glassfish.jersey.core:jersey-common:2.23.2,javax.ws.rs.container.PreMatching,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
