Caller Method	Caller Library	Interface Name	Interface Library	Callee Method	Impl. Name	Impl. Library
org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::writer()Lcom/fasterxml/jackson/databind/ObjectWriter;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.web.socket.sockjs.frame.Jackson2SockJsMessageCodec::decode(Ljava/lang/String;)[Ljava/lang/String;	org.springframework:spring-websocket:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.web.socket.sockjs.frame.Jackson2SockJsMessageCodec::decodeInputStream(Ljava/io/InputStream;)[Ljava/lang/String;	org.springframework:spring-websocket:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Ljava/lang/Class;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/SerializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::configurePrettyPrint()V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/SerializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::registerModules(Ljava/lang/Iterable;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setDateFormat(Ljava/text/DateFormat;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setPropertyNamingStrategy(Lcom/fasterxml/jackson/databind/PropertyNamingStrategy;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setTimeZone(Ljava/util/TimeZone;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setSerializationInclusion(Lcom/fasterxml/jackson/annotation/JsonInclude$Include;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setHandlerInstantiator(Lcom/fasterxml/jackson/databind/cfg/HandlerInstantiator;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setLocale(Ljava/util/Locale;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/MapperFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::setFilterProvider(Lcom/fasterxml/jackson/databind/ser/FilterProvider;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configureFeature(Lcom/fasterxml/jackson/databind/ObjectMapper;Ljava/lang/Object;Z)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/core/JsonParser$Feature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::canWrite(Ljava/lang/Class;Lorg/springframework/http/MediaType;)Z	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::canSerialize(Ljava/lang/Class;)Z	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::addMixIn(Ljava/lang/Class;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;	org.springframework:spring-web:4.3.7.RELEASE	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core	com.fasterxml.jackson.databind.ObjectMapper::readerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectReader;	com.fasterxml.jackson.databind.ObjectMapper	unknownLib
