SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
javax.xml.parsers.SecuritySupport$1	xml-apis:xml-apis:1.3.04	java.security.PrivilegedAction	public	java.security	1
org.apache.batik.dom.AbstractDocument	org.apache.xmlgraphics:batik-dom:1.8	org.w3c.dom.events.DocumentEvent	public	xml-apis:xml-apis:1.3.04	1
org.apache.batik.bridge.BridgeEventSupport	org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.util.SVGConstants	public	org.apache.xmlgraphics:batik-util:1.8	1
org.apache.batik.dom.events.NodeEventTarget	org.apache.xmlgraphics:batik-dom:1.8	org.w3c.dom.events.EventTarget	public	xml-apis:xml-apis:1.3.04	1
javax.xml.parsers.SecuritySupport$5	xml-apis:xml-apis:1.3.04	java.security.PrivilegedAction	public	java.security	1
org.apache.batik.anim.dom.SVGDOMImplementation$FeFuncBElementFactory	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.ExtensibleDOMImplementation$ElementFactory	public	org.apache.xmlgraphics:batik-dom:1.8	1
javax.xml.parsers.SecuritySupport$2	xml-apis:xml-apis:1.3.04	java.security.PrivilegedAction	public	java.security	1
org.apache.batik.dom.ExtendedNode	org.apache.xmlgraphics:batik-dom:1.8	org.w3c.dom.Node	public	xml-apis:xml-apis:1.3.04	1
org.apache.batik.dom.util.DOMUtilities	org.apache.xmlgraphics:batik-dom:1.8	org.apache.batik.xml.XMLUtilities	public	org.apache.xmlgraphics:batik-xml:1.8	1
org.jfree.chart.StandardChartTheme	org.jfree:jfreechart:1.0.19	org.jfree.util.PublicCloneable	public	org.jfree:jcommon:1.0.23	1
org.apache.batik.bridge.SVGPathElementBridge	org.apache.xmlgraphics:batik-bridge:1.8	org.apache.batik.dom.svg.SVGPathContext	public	org.apache.xmlgraphics:batik-svg-dom:1.8	1
org.apache.batik.anim.dom.SVGDOMImplementation$FontFaceSrcElementFactory	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.ExtensibleDOMImplementation$ElementFactory	public	org.apache.xmlgraphics:batik-dom:1.8	1
org.apache.batik.anim.timing.TimedElement	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.util.SMILConstants	public	org.apache.xmlgraphics:batik-util:1.8	1
org.apache.batik.dom.svg.AbstractSVGPathSegList$SVGPathSegLinetoVerticalItem	org.apache.xmlgraphics:batik-svg-dom:1.8	org.w3c.dom.svg.SVGPathSegLinetoVerticalAbs	public	xml-apis:xml-apis-ext:1.3.04	1
org.apache.batik.anim.dom.SVGDOMImplementation$StopElementFactory	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.ExtensibleDOMImplementation$ElementFactory	public	org.apache.xmlgraphics:batik-dom:1.8	1
org.apache.batik.anim.dom.SVGDOMImplementation$PolylineElementFactory	org.apache.xmlgraphics:batik-anim:1.8	org.apache.batik.dom.ExtensibleDOMImplementation$ElementFactory	public	org.apache.xmlgraphics:batik-dom:1.8	1
org.apache.batik.anim.dom.SVGOMAnimatedMarkerOrientValue$AnimatedAngle	org.apache.xmlgraphics:batik-anim:1.8	org.w3c.dom.svg.SVGAnimatedAngle	public	xml-apis:xml-apis-ext:1.3.04	1
org.apache.batik.dom.AbstractDocument	org.apache.xmlgraphics:batik-dom:1.8	org.w3c.dom.Document	public	xml-apis:xml-apis:1.3.04	1
org.apache.batik.dom.svg.AbstractSVGPathSegList	org.apache.xmlgraphics:batik-svg-dom:1.8	org.w3c.dom.svg.SVGPathSegList	public	xml-apis:xml-apis-ext:1.3.04	1
