Client	API Proportion	No. Of Methods
br.com.caelum:vraptor	0.0353460972017673	24
com.capitalone.dashboard:core	0.00294550810014728	2
io.searchbox:jest-common	0.0662739322533137	45
net.javacrumbs.json-unit:json-unit-core	0.0279823269513991	19
