SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
io.restassured.internal.ResponseSpecificationImpl$_headers_closure5$_closure17,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_getDerivedPath_closure38,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.support.ParameterUpdater$_updateParameters_closure1,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.http.GZIPEncoding$GZIPDecompressingEntity,io.rest-assured:rest-assured:4.4.0,org.apache.http.entity.HttpEntityWrapper,public,org.apache.httpcomponents:httpcore:4.4.13,1
io.restassured.internal.SpecificationMerger$_mergeFilters_closure4,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.SpecificationMerger$_mergeFilters_closure3,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.common.assertion.EndToEndQuoteFragmentEscaper,io.rest-assured:rest-assured-common:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
groovy.xml.slurpersupport.GPathResult,org.codehaus.groovy:groovy-xml:3.0.8,groovy.lang.Writable,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_getURI_closure39,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
org.apache.johnzon.core.JsonReaderFactoryImpl,org.apache.johnzon:johnzon-core:1.1.11,javax.json.JsonReaderFactory,public,jakarta.json:jakarta.json-api:1.1.6,1
io.restassured.internal.common.assertion.GetAtPathFragmentEscaper,io.rest-assured:rest-assured-common:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.path.json.ConfigurableJsonSlurper$__clinit__closure1,io.rest-assured:json-path:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
org.eclipse.yasson.internal.serializer.AbstractValueTypeDeserializer,org.eclipse:yasson:1.0.6,javax.json.bind.serializer.JsonbDeserializer,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
org.eclipse.yasson.internal.serializer.AbstractContainerSerializer,org.eclipse:yasson:1.0.6,javax.json.bind.serializer.JsonbSerializer,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
io.restassured.internal.RequestSpecificationImpl$_headers_closure6,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.path.json.JSONAssertion,io.rest-assured:json-path:4.4.0,io.restassured.internal.common.assertion.Assertion,public,io.rest-assured:rest-assured-common:4.4.0,1
org.apache.http.client.methods.HttpUriRequest,org.apache.httpcomponents:httpclient:4.5.13,org.apache.http.HttpRequest,public,org.apache.httpcomponents:httpcore:4.4.13,1
io.restassured.assertion.CookieMatcher$_getCookies_closure1$_closure2,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.ResponseSpecificationImpl$_applyArguments_closure15,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.SpecificationMerger$_mergeConfig_closure1,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
