Library Name	No. of Public/Protected Methods	No. of Methods Called By Tests	Classes
unknownLib	0	0	 
javax.persistence:persistence-api:1.0.2	213	0	javax.persistence.PrePersist:javax.persistence.MappedSuperclass:javax.persistence.NoResultException:javax.persistence.EnumType:javax.persistence.MapKey:javax.persistence.NonUniqueResultException:javax.persistence.TransactionRequiredException:javax.persistence.SequenceGenerator:javax.persistence.spi.ClassTransformer:javax.persistence.QueryHint:javax.persistence.ColumnResult:javax.persistence.NamedQuery:javax.persistence.Enumerated:javax.persistence.NamedNativeQueries:javax.persistence.PersistenceProperty:javax.persistence.ManyToMany:javax.persistence.NamedQueries:javax.persistence.Version:javax.persistence.Entity:javax.persistence.JoinTable:javax.persistence.ManyToOne:javax.persistence.AssociationOverrides:javax.persistence.CascadeType:javax.persistence.PersistenceContexts:javax.persistence.UniqueConstraint:javax.persistence.EntityExistsException:javax.persistence.spi.PersistenceUnitInfo:javax.persistence.SqlResultSetMapping:javax.persistence.Basic:javax.persistence.DiscriminatorValue:javax.persistence.AttributeOverride:javax.persistence.Column:javax.persistence.GenerationType:javax.persistence.Query:javax.persistence.DiscriminatorColumn:javax.persistence.GeneratedValue:javax.persistence.PersistenceException:javax.persistence.RollbackException:javax.persistence.EntityManagerFactory:javax.persistence.Embeddable:javax.persistence.PrimaryKeyJoinColumns:javax.persistence.Persistence:javax.persistence.DiscriminatorType:javax.persistence.IdClass:javax.persistence.EntityResult:javax.persistence.FlushModeType:javax.persistence.AttributeOverrides:javax.persistence.Table:javax.persistence.TableGenerator:javax.persistence.PostLoad:javax.persistence.EntityListeners:javax.persistence.NamedNativeQuery:javax.persistence.EntityNotFoundException:javax.persistence.ExcludeDefaultListeners:javax.persistence.OrderBy:javax.persistence.PersistenceUnit:javax.persistence.Id:javax.persistence.Lob:javax.persistence.InheritanceType:javax.persistence.PreUpdate:javax.persistence.FieldResult:javax.persistence.PersistenceUnits:javax.persistence.AssociationOverride:javax.persistence.PostPersist:javax.persistence.OptimisticLockException:javax.persistence.PersistenceContextType:javax.persistence.TemporalType:javax.persistence.Embedded:javax.persistence.JoinColumn:javax.persistence.OneToMany:javax.persistence.JoinColumns:javax.persistence.spi.PersistenceUnitTransactionType:javax.persistence.SecondaryTable:javax.persistence.EntityManager:javax.persistence.PersistenceContext:javax.persistence.SecondaryTables:javax.persistence.SqlResultSetMappings:javax.persistence.PrimaryKeyJoinColumn:javax.persistence.spi.PersistenceProvider:javax.persistence.OneToOne:javax.persistence.PreRemove:javax.persistence.Inheritance:javax.persistence.EmbeddedId:javax.persistence.Temporal:javax.persistence.Transient:javax.persistence.EntityTransaction:javax.persistence.FetchType:javax.persistence.ExcludeSuperclassListeners:javax.persistence.LockModeType:javax.persistence.PostUpdate:javax.persistence.PostRemove
org.sql2o:sql2o:1.6.0	616	162	org.sql2o.converters.EnumConverterFactory:org.sql2o.quirks.Quirks:org.sql2o.quirks.parameterparsing.impl.DefaultParser:org.sql2o.converters.DefaultEnumConverterFactory:org.sql2o.quirks.parameterparsing.impl.DoubleHyphensCommentParser:org.sql2o.tools.FeatureDetector:org.sql2o.reflection.UnsafeFieldGetterFactory$2:org.sql2o.reflection.UnsafeFieldGetterFactory$1:org.sql2o.DefaultResultSetHandlerFactory$3:org.sql2o.reflection.UnsafeFieldGetterFactory$4:org.sql2o.DefaultResultSetHandlerFactory$4:org.sql2o.reflection.UnsafeFieldGetterFactory$3:org.sql2o.DefaultResultSetHandlerFactory$5:org.sql2o.reflection.UnsafeFieldGetterFactory$6:org.sql2o.reflection.UnsafeFieldGetterFactory$5:org.sql2o.DefaultResultSetHandlerFactory$6:org.sql2o.reflection.UnsafeFieldGetterFactory$8:org.sql2o.reflection.UnsafeFieldGetterFactory$7:org.sql2o.reflection.MethodSetterFactory:org.sql2o.reflection.FieldGetterFactory:org.sql2o.reflection.UnsafeFieldGetterFactory$9:org.sql2o.reflection.FieldSetterFactory:org.sql2o.Sql2o:org.sql2o.ArrayParameters$ArrayParameter:org.sql2o.reflection.ReflectionObjectConstructorFactory$1:org.sql2o.quirks.parameterparsing.impl.ParameterParser:org.sql2o.converters.StringConverter:org.sql2o.Query$13:org.sql2o.Query$12:org.sql2o.Query$11:org.sql2o.Query$10:org.sql2o.Query$17:org.sql2o.quirks.parameterparsing.impl.DefaultSqlParameterParsingStrategy:org.sql2o.Query$16:org.sql2o.Query$15:org.sql2o.Query$14:org.sql2o.reflection.PojoMetadata:org.sql2o.reflection.PojoMetadata$PropertyAndFieldInfo:org.sql2o.data.Table:org.sql2o.ArrayParameters:org.sql2o.converters.joda.DateTimeConverter:org.sql2o.Query:org.sql2o.converters.IntegerConverter:org.sql2o.converters.joda.LocalDateConverter:org.sql2o.reflection.PojoIntrospector:org.sql2o.tools.UnderscoreToCamelCase:org.sql2o.data.LazyTable:org.sql2o.converters.DoubleConverter:org.sql2o.converters.ConverterException:org.sql2o.ResultSetIterable:org.sql2o.quirks.parameterparsing.SqlParameterParsingStrategy:org.sql2o.converters.AbstractDateConverter:org.sql2o.converters.ConverterBase:org.sql2o.reflection.Pojo:org.sql2o.Connection:org.sql2o.data.Row:org.sql2o.reflection.UnsafeFieldSetterFactory$1:org.sql2o.reflection.UnsafeFieldSetterFactory$19:org.sql2o.reflection.UnsafeFieldSetterFactory$2:org.sql2o.reflection.UnsafeFieldSetterFactory$18:org.sql2o.reflection.UnsafeFieldSetterFactory$17:org.sql2o.reflection.UnsafeFieldSetterFactory$16:org.sql2o.reflection.UnsafeFieldSetterFactory$15:org.sql2o.reflection.UnsafeFieldSetterFactory$5:org.sql2o.reflection.UnsafeFieldSetterFactory$14:org.sql2o.reflection.UnsafeFieldSetterFactory$6:org.sql2o.reflection.UnsafeFieldGetterFactory:org.sql2o.reflection.UnsafeFieldSetterFactory$13:org.sql2o.reflection.UnsafeFieldSetterFactory$3:org.sql2o.tools.AbstractCache:org.sql2o.reflection.UnsafeFieldSetterFactory$4:org.sql2o.reflection.UnsafeFieldSetterFactory$12:org.sql2o.reflection.UnsafeFieldSetterFactory$11:org.sql2o.reflection.UnsafeFieldSetterFactory$10:org.sql2o.ResultSetHandler:org.sql2o.quirks.NoQuirks:org.sql2o.quirks.parameterparsing.impl.ForwardSlashCommentParser:org.sql2o.tools.ResultSetUtils:org.sql2o.ResultSetIteratorBase$ResultSetValue:org.sql2o.GenericDatasource:org.sql2o.reflection.ObjectConstructor:org.sql2o.reflection.UnsafeFieldSetterFactory$9:org.sql2o.reflection.UnsafeFieldSetterFactory$7:org.sql2o.reflection.UnsafeFieldSetterFactory$8:org.sql2o.converters.ConvertersProvider:org.sql2o.converters.NumberConverter:org.sql2o.reflection.PojoIntrospector$ReadableProperty:org.sql2o.converters.BigDecimalConverter:org.sql2o.logging.Slf4jLogger:org.sql2o.reflection.UnsafeFieldSetterFactory:org.sql2o.DefaultResultSetHandlerFactory$Key:org.sql2o.StatementRunnable:org.sql2o.converters.joda.LocalTimeConverter:org.sql2o.connectionsources.DataSourceConnectionSource:org.sql2o.quirks.parameterparsing.impl.QuoteParser:org.sql2o.ResultSetHandlerFactoryBuilder:org.sql2o.Sql2oException:org.sql2o.converters.FloatConverter:org.sql2o.logging.LocalLoggerFactory:org.sql2o.connectionsources.ConnectionSources:org.sql2o.converters.ByteArrayConverter:org.sql2o.converters.BooleanConverter:org.sql2o.tools.ClassUtils:org.sql2o.StatementRunnableWithResult:org.sql2o.reflection.MethodAccessorsGenerator$2:org.sql2o.reflection.MethodAccessorsGenerator$3:org.sql2o.reflection.MethodAccessorsGenerator$4:org.sql2o.reflection.ReflectionObjectConstructorFactory:org.sql2o.reflection.MethodAccessorsGenerator$1:org.sql2o.connectionsources.NestedConnection:org.sql2o.converters.Convert:org.sql2o.Query$ResultSetIterableBase:org.sql2o.PojoResultSetIterator:org.sql2o.converters.ByteConverter:org.sql2o.converters.ShortConverter:org.sql2o.converters.InputStreamConverter:org.sql2o.reflection.PojoIntrospector$3:org.sql2o.reflection.PojoIntrospector$2:org.sql2o.converters.UUIDConverter:org.sql2o.quirks.parameterparsing.impl.CharParser:org.sql2o.Query$ParameterSetter:org.sql2o.reflection.PojoIntrospector$1:org.sql2o.Query$9:org.sql2o.reflection.MethodAccessorsGenerator:org.sql2o.reflection.ReflectionFieldGetterFactory:org.sql2o.reflection.ReflectionMethodSetterFactory:org.sql2o.Query$7:org.sql2o.Query$8:org.sql2o.Query$5:org.sql2o.Query$6:org.sql2o.Query$3:org.sql2o.Query$4:org.sql2o.Query$1:org.sql2o.Query$2:org.sql2o.quirks.QuirksDetector:org.sql2o.connectionsources.ConnectionSources$1:org.sql2o.quirks.QuirksProvider:org.sql2o.reflection.FieldGetter:org.sql2o.reflection.FieldSetter:org.sql2o.reflection.FactoryFacade:org.sql2o.reflection.PojoMetadata$Cache:org.sql2o.converters.DefaultEnumConverterFactory$1:org.sql2o.converters.DateConverter:org.sql2o.reflection.UnsafeFieldGetterFactory$16:org.sql2o.reflection.UnsafeFieldGetterFactory$17:org.sql2o.reflection.UnsafeFieldGetterFactory$18:org.sql2o.reflection.UnsafeFieldGetterFactory$19:org.sql2o.ResultSetHandlerFactory:org.sql2o.data.Table$1:org.sql2o.DefaultResultSetHandlerFactory:org.sql2o.reflection.MethodGetter:org.sql2o.reflection.MethodGetterFactory:org.sql2o.logging.Logger:org.sql2o.DelegatingResultSetHandler:org.sql2o.converters.Converter:org.sql2o.connectionsources.WrappedConnection:org.sql2o.reflection.UnsafeFieldGetterFactory$10:org.sql2o.reflection.Getter:org.sql2o.JndiDataSource:org.sql2o.reflection.UnsafeFieldGetterFactory$11:org.sql2o.quirks.parameterparsing.impl.AbstractCommentParser:org.sql2o.reflection.UnsafeFieldGetterFactory$12:org.sql2o.reflection.UnsafeFieldGetterFactory$13:org.sql2o.reflection.UnsafeFieldGetterFactory$14:org.sql2o.reflection.ReflectionFieldSetterFactory:org.sql2o.reflection.UnsafeFieldGetterFactory$15:org.sql2o.DefaultResultSetHandlerFactoryBuilder:org.sql2o.reflection.Setter:org.sql2o.ResultSetIteratorBase:org.sql2o.converters.LongConverter:org.sql2o.DefaultResultSetHandlerFactory$1:org.sql2o.DefaultResultSetHandlerFactory$2:org.sql2o.tools.IOUtils:org.sql2o.data.TableResultSetIterator:org.sql2o.connectionsources.ConnectionSource:org.sql2o.logging.SysOutLogger:org.sql2o.reflection.MethodSetter:org.sql2o.converters.Convert$1:org.sql2o.data.Column:org.sql2o.converters.Convert$2:org.sql2o.converters.Convert$3:org.sql2o.reflection.ObjectConstructorFactory:org.sql2o.reflection.ReflectionMethodGetterFactory:org.sql2o.reflection.PojoMetadata$1
joda-time:joda-time:2.0	3277	0	org.joda.time.DateTimeZone:org.joda.time.tz.DateTimeZoneBuilder$RuleSet:org.joda.time.tz.DateTimeZoneBuilder$Transition:org.joda.time.field.AbstractPartialFieldProperty:org.joda.time.field.StrictDateTimeField:org.joda.time.convert.ConverterSet$Entry:org.joda.time.DateTimeFieldType$StandardDateTimeFieldType:org.joda.time.chrono.BasicChronology$HalfdayField:org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear:org.joda.time.chrono.BasicChronology$YearInfo:org.joda.time.LocalDate$Property:org.joda.time.field.UnsupportedDurationField:org.joda.time.DateMidnight$Property:org.joda.time.format.PeriodFormatterBuilder$CompositeAffix:org.joda.time.DateTimeComparator:org.joda.time.ReadWritableInterval:org.joda.time.format.PeriodFormatterBuilder:org.joda.time.format.DateTimePrinter:org.joda.time.base.BaseLocal:org.joda.time.chrono.ISOChronology:org.joda.time.chrono.LenientChronology:org.joda.time.format.PeriodFormatterBuilder$FieldFormatter:org.joda.time.tz.ZoneInfoCompiler$Rule:org.joda.time.field.DividedDateTimeField:org.joda.time.convert.DateConverter:org.joda.time.chrono.ZonedChronology:org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset:org.joda.time.field.BaseDateTimeField:org.joda.time.field.ZeroIsMaxDateTimeField:org.joda.time.base.BaseInterval:org.joda.time.Duration:org.joda.time.format.FormatUtils:org.joda.time.format.PeriodFormatter:org.joda.time.Interval:org.joda.time.convert.LongConverter:org.joda.time.base.AbstractInstant:org.joda.time.tz.DateTimeZoneBuilder:org.joda.time.format.DateTimeParserBucket:org.joda.time.ReadWritablePeriod:org.joda.time.convert.ConverterSet:org.joda.time.LocalDateTime:org.joda.time.base.BasePeriod$1:org.joda.time.tz.FixedDateTimeZone:org.joda.time.convert.IntervalConverter:org.joda.time.format.PeriodPrinter:org.joda.time.field.PreciseDateTimeField:org.joda.time.chrono.LimitChronology$LimitException:org.joda.time.chrono.GJLocaleSymbols:org.joda.time.convert.ReadableDurationConverter:org.joda.time.base.BaseDuration:org.joda.time.field.DecoratedDateTimeField:org.joda.time.Months:org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:org.joda.time.YearMonthDay:org.joda.time.format.DateTimeParser:org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:org.joda.time.YearMonth:org.joda.time.chrono.GJChronology$CutoverField:org.joda.time.LocalTime$Property:org.joda.time.convert.ReadablePeriodConverter:org.joda.time.DateTime$Property:org.joda.time.field.OffsetDateTimeField:org.joda.time.Years:org.joda.time.convert.ReadableIntervalConverter:org.joda.time.DateTimeField:org.joda.time.field.FieldUtils:org.joda.time.format.ISODateTimeFormat:org.joda.time.Partial:org.joda.time.field.SkipDateTimeField:org.joda.time.base.AbstractPeriod:org.joda.time.chrono.GJDayOfWeekDateTimeField:org.joda.time.DateTimeUtils$SystemMillisProvider:org.joda.time.IllegalFieldValueException:org.joda.time.format.DateTimeFormatterBuilder$Composite:org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber:org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField:org.joda.time.format.DateTimeFormat$StyleFormatter:org.joda.time.ReadablePeriod:org.joda.time.DateTimeZone$Stub:org.joda.time.chrono.ZonedChronology$ZonedDateTimeField:org.joda.time.chrono.GregorianChronology:org.joda.time.convert.ConverterManager:org.joda.time.chrono.GJChronology$LinkedDurationField:org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber:org.joda.time.Minutes:org.joda.time.chrono.BasicMonthOfYearDateTimeField:org.joda.time.base.AbstractPartial:org.joda.time.base.BasePartial:org.joda.time.base.AbstractDuration:org.joda.time.base.BaseDateTime:org.joda.time.DateTimeUtils:org.joda.time.base.AbstractInterval:org.joda.time.Hours:org.joda.time.LocalTime:org.joda.time.base.BasePeriod:org.joda.time.field.DecoratedDurationField:org.joda.time.tz.DateTimeZoneBuilder$DSTZone:org.joda.time.TimeOfDay$Property:org.joda.time.format.ISOPeriodFormat:org.joda.time.TimeOfDay:org.joda.time.Partial$Property:org.joda.time.chrono.CopticChronology:org.joda.time.field.ImpreciseDateTimeField:org.joda.time.field.PreciseDurationField:org.joda.time.DateTimeUtils$FixedMillisProvider:org.joda.time.tz.DateTimeZoneBuilder$OfYear:org.joda.time.ReadableDuration:org.joda.time.chrono.BasicGJChronology:org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter:org.joda.time.DurationField:org.joda.time.format.DateTimeFormatter:org.joda.time.format.DateTimeFormatterBuilder$TimeZoneName:org.joda.time.chrono.IslamicChronology$LeapYearPatternType:org.joda.time.DateTime:org.joda.time.field.DelegatedDurationField:org.joda.time.format.PeriodFormatterBuilder$SimpleAffix:org.joda.time.convert.PeriodConverter:org.joda.time.ReadWritableDateTime:org.joda.time.chrono.ZonedChronology$ZonedDurationField:org.joda.time.convert.CalendarConverter:org.joda.time.format.PeriodFormatterBuilder$Separator:org.joda.time.Instant:org.joda.time.chrono.LimitChronology$LimitDurationField:org.joda.time.chrono.BasicDayOfYearDateTimeField:org.joda.time.DurationFieldType$StandardDurationFieldType:org.joda.time.chrono.BuddhistChronology:org.joda.time.format.DateTimeFormatterBuilder$StringLiteral:org.joda.time.tz.DateTimeZoneBuilder$Recurrence:org.joda.time.convert.ReadablePartialConverter:org.joda.time.convert.Converter:org.joda.time.DateTimeUtils$MillisProvider:org.joda.time.DateTimeUtils$OffsetMillisProvider:org.joda.time.chrono.GJYearOfEraDateTimeField:org.joda.time.convert.PartialConverter:org.joda.time.Seconds:org.joda.time.field.RemainderDateTimeField:org.joda.time.JodaTimePermission:org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField:org.joda.time.DateTimeFieldType:org.joda.time.format.DateTimeFormatterBuilder$Fraction:org.joda.time.format.DateTimeFormatterBuilder$FixedNumber:org.joda.time.MutableDateTime$Property:org.joda.time.chrono.LimitChronology$LimitDateTimeField:org.joda.time.ReadableInterval:org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone:org.joda.time.field.LenientDateTimeField:org.joda.time.base.AbstractDateTime:org.joda.time.field.SkipUndoDateTimeField:org.joda.time.convert.AbstractConverter:org.joda.time.field.DelegatedDateTimeField:org.joda.time.chrono.BasicChronology:org.joda.time.chrono.BasicYearDateTimeField:org.joda.time.chrono.ISOChronology$Stub:org.joda.time.format.DateTimeFormatterBuilder:org.joda.time.chrono.EthiopicChronology:org.joda.time.tz.CachedDateTimeZone$Info:org.joda.time.PeriodType:org.joda.time.field.MillisDurationField:org.joda.time.chrono.GJChronology:org.joda.time.chrono.IslamicChronology:org.joda.time.format.DateTimeFormatterBuilder$TextField:org.joda.time.LocalDateTime$Property:org.joda.time.chrono.BasicFixedMonthChronology:org.joda.time.YearMonthDay$Property:org.joda.time.field.UnsupportedDateTimeField:org.joda.time.chrono.ISOYearOfEraDateTimeField:org.joda.time.field.ScaledDurationField:org.joda.time.tz.ZoneInfoCompiler$Zone:org.joda.time.field.PreciseDurationDateTimeField:org.joda.time.MonthDay:org.joda.time.MutablePeriod:org.joda.time.MutableDateTime:org.joda.time.tz.CachedDateTimeZone:org.joda.time.ReadableDateTime:org.joda.time.format.PeriodFormatterBuilder$Literal:org.joda.time.format.PeriodParser:org.joda.time.format.PeriodFormatterBuilder$PluralAffix:org.joda.time.DateMidnight:org.joda.time.convert.DurationConverter:org.joda.time.chrono.GJMonthOfYearDateTimeField:org.joda.time.format.DateTimeParserBucket$SavedState:org.joda.time.chrono.BasicWeekyearDateTimeField:org.joda.time.tz.DateTimeZoneBuilder$Rule:org.joda.time.Days:org.joda.time.format.DateTimeFormatterBuilder$MatchingParser:org.joda.time.chrono.BasicSingleEraDateTimeField:org.joda.time.format.DateTimeFormat:org.joda.time.YearMonth$Property:org.joda.time.chrono.LimitChronology:org.joda.time.tz.UTCProvider:org.joda.time.ReadableInstant:org.joda.time.base.BaseSingleFieldPeriod:org.joda.time.convert.NullConverter:org.joda.time.tz.DefaultNameProvider:org.joda.time.tz.ZoneInfoCompiler:org.joda.time.tz.Provider:org.joda.time.chrono.AssembledChronology$Fields:org.joda.time.DurationFieldType:org.joda.time.MutableInterval:org.joda.time.ReadWritableInstant:org.joda.time.tz.NameProvider:org.joda.time.tz.ZoneInfoCompiler$DateTimeOfYear:org.joda.time.convert.ReadableInstantConverter:org.joda.time.convert.StringConverter:org.joda.time.convert.InstantConverter:org.joda.time.chrono.AssembledChronology:org.joda.time.chrono.StrictChronology:org.joda.time.chrono.GJEraDateTimeField:org.joda.time.tz.ZoneInfoCompiler$RuleSet:org.joda.time.tz.ZoneInfoProvider:org.joda.time.DateTimeZone$1:org.joda.time.chrono.BaseChronology:org.joda.time.chrono.JulianChronology:org.joda.time.Period:org.joda.time.format.PeriodFormat:org.joda.time.Weeks:org.joda.time.Chronology:org.joda.time.format.PeriodFormatterBuilder$Composite:org.joda.time.field.AbstractReadableInstantFieldProperty:org.joda.time.format.PeriodFormatterBuilder$PeriodFieldAffix:org.joda.time.format.DateTimeParserBucket$SavedField:org.joda.time.LocalDate:org.joda.time.chrono.BasicDayOfMonthDateTimeField:org.joda.time.MonthDay$Property:org.joda.time.ReadablePartial:org.joda.time.chrono.GJChronology$ImpreciseCutoverField:org.joda.time.field.BaseDurationField:org.joda.time.DateTimeConstants
org.slf4j:slf4j-api:1.7.25	376	0	org.slf4j.LoggerFactory:org.slf4j.helpers.SubstituteLogger:org.slf4j.MarkerFactory:org.slf4j.event.EventConstants:org.slf4j.spi.MarkerFactoryBinder:org.slf4j.spi.MDCAdapter:org.slf4j.spi.LocationAwareLogger:org.slf4j.MDC$MDCCloseable:org.slf4j.helpers.Util:org.slf4j.helpers.BasicMarkerFactory:org.slf4j.event.Level:org.slf4j.helpers.Util$1:org.slf4j.helpers.NOPLoggerFactory:org.slf4j.event.LoggingEvent:org.slf4j.IMarkerFactory:org.slf4j.helpers.MessageFormatter:org.slf4j.event.EventRecodingLogger:org.slf4j.helpers.BasicMDCAdapter:org.slf4j.Logger:org.slf4j.spi.LoggerFactoryBinder:org.slf4j.helpers.FormattingTuple:org.slf4j.helpers.BasicMDCAdapter$1:org.slf4j.helpers.SubstituteLoggerFactory:org.slf4j.helpers.NOPMDCAdapter:org.slf4j.event.SubstituteLoggingEvent:org.slf4j.helpers.NOPLogger:org.slf4j.Marker:org.slf4j.MDC:org.slf4j.MDC$1:org.slf4j.helpers.MarkerIgnoringBase:org.slf4j.helpers.BasicMarker:org.slf4j.helpers.NamedLoggerBase:org.slf4j.helpers.Util$ClassContextSecurityManager:org.slf4j.ILoggerFactory

