ClientLibrary	ClassLibrary	ClassName	ClassVisibility	Usage	Counts
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.ArrayAdapter"	"default"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.NullDecorator"	"default"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.RequestAttributeInstantiator"	"default"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.VRaptorDependencyProvider"	"public"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.VRaptorInstantiator"	"public"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.VRaptorInstantiator$DependencyInstantiator"	"private"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.VRaptorInstantiator$VRaptorTypeConverter"	"private"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"br.com.caelum:vraptor:4.2.2"	"br.com.caelum.vraptor.http.iogi.VRaptorParameterNamesProvider"	"public"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"com.google.guava:guava:15.0"	"com.google.common.base.Function"	"public"	"subtyping"	1
"br.com.caelum:iogi:1.0.1"	"com.google.guava:guava:15.0"	"com.google.common.base.Joiner"	"public"	"method call"	1
"br.com.caelum:iogi:1.0.1"	"com.google.guava:guava:15.0"	"com.google.common.base.Supplier"	"public"	"cast"	1
"br.com.caelum:iogi:1.0.1"	"com.google.guava:guava:15.0"	"com.google.common.base.Supplier"	"public"	"subtyping"	1
"br.com.caelum:iogi:1.0.1"	"com.google.guava:guava:15.0"	"com.google.common.collect.AbstractIterator"	"public"	"subtyping"	1
