CallerLibrary	CallerMethod	CalleeLibrary	setAccessible.CalledOn	Visibility	CalleeName	FieldSignature	Counts
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.Status::methodNotAllowed(Ljava/util/EnumSet;)V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.Status::movedPermanentlyTo(Ljava/lang/Class;)Ljava/lang/Object;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.Status::movedPermanentlyTo(Ljava/lang/String;)V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.Status::notFound()V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.Status::ok()V"	""	1
"org.codehaus.groovy:groovy"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-classic:1.2.5"	"java.lang.reflect.Constructor"	"default"	"ch.qos.logback.classic.Logger::ch.qos.logback.classic.Logger(Ljava/lang/String;Lch/qos/logback/classic/Logger;Lch/qos/logback/classic/LoggerContext;)V"	NA	1
"org.codehaus.groovy:groovy"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-classic:1.2.5"	"java.lang.reflect.Constructor"	"public"	"ch.qos.logback.classic.gaffer.ConfigurationDelegate::ch.qos.logback.classic.gaffer.ConfigurationDelegate()V"	NA	1
"org.codehaus.groovy:groovy"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-classic:1.2.5"	"java.lang.reflect.Constructor"	"public"	"ch.qos.logback.classic.gaffer.GafferConfigurator::ch.qos.logback.classic.gaffer.GafferConfigurator(Lch/qos/logback/classic/LoggerContext;)V"	NA	1
"org.codehaus.groovy:groovy"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-classic:1.2.5"	"java.lang.reflect.Constructor"	"public"	"ch.qos.logback.classic.gaffer.PropertyUtil::ch.qos.logback.classic.gaffer.PropertyUtil()V"	NA	1
"org.codehaus.groovy:groovy"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-classic:1.2.5"	"java.lang.reflect.Constructor"	"public"	"ch.qos.logback.classic.LoggerContext::ch.qos.logback.classic.LoggerContext()V"	NA	2
"org.apache.cxf:cxf-rt-frontend-jaxrs"	"org.apache.cxf.jaxrs.utils.InjectionUtils$1::run()Ljava/lang/Object;"	"com.alibaba:fastjson:1.2.76"	"java.lang.reflect.Field"	"protected"	"com.alibaba.fastjson.support.jaxrs.FastJsonProvider::providers"	"javax.ws.rs.ext.Providers"	2
"org.apache.cxf:cxf-rt-frontend-jaxrs"	"org.apache.cxf.jaxrs.utils.InjectionUtils$2::run()Ljava/lang/Object;"	"com.alibaba:fastjson:1.2.76"	"java.lang.reflect.Field"	"protected"	"com.alibaba.fastjson.support.jaxrs.FastJsonProvider::providers"	"javax.ws.rs.ext.Providers"	2
"org.glassfish.hk2:hk2-locator"	"org.jvnet.hk2.internal.Utilities$2::run()Ljava/lang/Object;"	"com.alibaba:fastjson:1.2.76"	"java.lang.reflect.Constructor"	"public"	"com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable::com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable()V"	""	2
"org.glassfish.hk2:hk2-locator"	"org.jvnet.hk2.internal.Utilities$2::run()Ljava/lang/Object;"	"com.alibaba:fastjson:1.2.76"	"java.lang.reflect.Constructor"	"public"	"com.alibaba.fastjson.support.jaxrs.FastJsonFeature::com.alibaba.fastjson.support.jaxrs.FastJsonFeature()V"	""	2
"org.glassfish.hk2:hk2-locator"	"org.jvnet.hk2.internal.Utilities$2::run()Ljava/lang/Object;"	"com.alibaba:fastjson:1.2.76"	"java.lang.reflect.Constructor"	"public"	"com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba.fastjson.support.jaxrs.FastJsonProvider()V"	""	2
"org.glassfish.hk2:hk2-utils"	"org.glassfish.hk2.utilities.reflection.ReflectionHelper$3::run()Ljava/lang/Object;"	"com.alibaba:fastjson:1.2.76"	"java.lang.reflect.Field"	"protected"	"com.alibaba.fastjson.support.jaxrs.FastJsonProvider::providers"	"javax.ws.rs.ext.Providers"	2
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport::com.capitalone.dashboard.model.quality.CucumberJsonReport(Ljava/util/List;)V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Condition::com.capitalone.dashboard.model.quality.CucumberJsonReport$Condition()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::com.capitalone.dashboard.model.quality.CucumberJsonReport$Element()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature::com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Match::com.capitalone.dashboard.model.quality.CucumberJsonReport$Match()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Result::com.capitalone.dashboard.model.quality.CucumberJsonReport$Result()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Step::com.capitalone.dashboard.model.quality.CucumberJsonReport$Step()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Tag::com.capitalone.dashboard.model.quality.CucumberJsonReport$Tag()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.MochaJsSpecReport::com.capitalone.dashboard.model.quality.MochaJsSpecReport()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.MochaJsSpecReport$Stats::com.capitalone.dashboard.model.quality.MochaJsSpecReport$Stats()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.MochaJsSpecReport$Suite::com.capitalone.dashboard.model.quality.MochaJsSpecReport$Suite()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Constructor"	"public"	"com.capitalone.dashboard.model.quality.MochaJsSpecReport$Test::com.capitalone.dashboard.model.quality.MochaJsSpecReport$Test()V"	""	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"default"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Tag::name"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport::features"	"java.util.List<com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature>"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Condition::match"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Match"	1
