Callee Library,Field Name,Field Signature,Field Library,Count
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MimeTypes$Type::TEXT_PLAIN,Lorg/eclipse/jetty/http/MimeTypes$Type;,jetty-http-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::HOST,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,2
jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.thread.Invocable$InvocationType::NON_BLOCKING,Lorg/eclipse/jetty/util/thread/Invocable$InvocationType;,jetty-util-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpMethod::HEAD,Lorg/eclipse/jetty/http/HttpMethod;,jetty-http-9.4.26.v20200117,1
jetty-servlet-9.4.26.v20200117,javax.servlet.DispatcherType::ERROR,Ljavax/servlet/DispatcherType;,javax.servlet-api-3.1.0,4
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpGenerator::PROGRESS_102_INFO,Lorg/eclipse/jetty/http/MetaData$Response;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.Jetty::STABLE,Z,jetty-util-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::ACCEPT_CHARSET,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::COOKIE,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::CONTENT_ENCODING,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,3
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::CONTENT_LENGTH,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,13
jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.Jetty::GIT_HASH,Ljava/lang/String;,jetty-util-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpVersion::HTTP_2,Lorg/eclipse/jetty/http/HttpVersion;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpGenerator::CONTINUE_100_INFO,Lorg/eclipse/jetty/http/MetaData$Response;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeaderValue::TE,Lorg/eclipse/jetty/http/HttpHeaderValue;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MimeTypes$Type::TEXT_JSON,Lorg/eclipse/jetty/http/MimeTypes$Type;,jetty-http-9.4.26.v20200117,1
jetty-servlet-9.4.26.v20200117,org.eclipse.jetty.server.MultiPartCleanerListener::INSTANCE,Lorg/eclipse/jetty/server/MultiPartCleanerListener;,jetty-server-9.4.26.v20200117,2
jetty-servlet-9.4.26.v20200117,javax.servlet.DispatcherType::FORWARD,Ljavax/servlet/DispatcherType;,javax.servlet-api-3.1.0,4
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpMethod::PRI,Lorg/eclipse/jetty/http/HttpMethod;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MimeTypes$Type::MULTIPART_FORM_DATA,Lorg/eclipse/jetty/http/MimeTypes$Type;,jetty-http-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeaderValue::IDENTITY,Lorg/eclipse/jetty/http/HttpHeaderValue;,jetty-http-9.4.26.v20200117,1
