Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.antlr.v4.runtime.ParserRuleContext::getRuleContext(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/ParserRuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$PrimaryExprContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,13146
org.seimicrawler.xpath.core.node.Num::call(Lorg/seimicrawler/xpath/core/Scope;)Lorg/seimicrawler/xpath/core/XValue;,JsoupXpath-2.4.3,org.apache.commons.lang3.StringUtils::join(Ljava/lang/Iterable;Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.lang3.StringUtils::join(Ljava/lang/Iterable;Ljava/lang/String;)Ljava/lang/String;,commons-lang3-3.3.2,85
org.junit.runners.BlockJUnit4ClassRunner::possiblyExpectingExceptions(Lorg/junit/runners/model/FrameworkMethod;Ljava/lang/Object;Lorg/junit/runners/model/Statement;)Lorg/junit/runners/model/Statement;,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::expectsException(Lorg/junit/Test;)Z,com.tngtech.java.junit.dataprovider.DataProviderRunner::expectsException(Lorg/junit/Test;)Z,junit-dataprovider-1.10.2,25
org.seimicrawler.xpath.core.node.Text::call(Lorg/seimicrawler/xpath/core/Scope;)Lorg/seimicrawler/xpath/core/XValue;,JsoupXpath-2.4.3,org.jsoup.nodes.Element::data()Ljava/lang/String;,org.jsoup.nodes.Element::data()Ljava/lang/String;,jsoup-1.13.1,1
org.junit.runners.BlockJUnit4ClassRunner::methodBlock(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runners/model/Statement;,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::methodInvoker(Lorg/junit/runners/model/FrameworkMethod;Ljava/lang/Object;)Lorg/junit/runners/model/Statement;,com.tngtech.java.junit.dataprovider.DataProviderRunner::methodInvoker(Lorg/junit/runners/model/FrameworkMethod;Ljava/lang/Object;)Lorg/junit/runners/model/Statement;,junit-dataprovider-1.10.2,25
ch.qos.logback.classic.util.ContextSelectorStaticBinder::init(Lch/qos/logback/classic/LoggerContext;Ljava/lang/Object;)V,logback-classic-1.2.3,ch.qos.logback.core.util.OptionHelper::getSystemProperty(Ljava/lang/String;)Ljava/lang/String;,ch.qos.logback.core.util.OptionHelper::getSystemProperty(Ljava/lang/String;)Ljava/lang/String;,logback-core-1.2.3,1
org.antlr.v4.runtime.DefaultErrorStrategy::sync(Lorg/antlr/v4/runtime/Parser;)V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.DefaultErrorStrategy::inErrorRecoveryMode(Lorg/antlr/v4/runtime/Parser;)Z,org.seimicrawler.xpath.exception.DoFailOnErrorHandler::inErrorRecoveryMode(Lorg/antlr/v4/runtime/Parser;)Z,JsoupXpath-2.4.3,2659
org.seimicrawler.xpath.util.CommonUtil::getElIndexInSameTags(Lorg/jsoup/nodes/Element;Lorg/seimicrawler/xpath/core/Scope;)I,JsoupXpath-2.4.3,org.jsoup.select.Elements::contains(Ljava/lang/Object;)Z,org.jsoup.select.Elements::contains(Ljava/lang/Object;)Z,jsoup-1.13.1,2185
org.junit.runners.ParentRunner::getDescription()Lorg/junit/runner/Description;,junit-4.12,org.junit.runners.ParentRunner::describeChild(Ljava/lang/Object;)Lorg/junit/runner/Description;,com.tngtech.java.junit.dataprovider.DataProviderRunner::describeChild(Ljava/lang/Object;)Lorg/junit/runner/Description;,junit-dataprovider-1.10.2,25
org.junit.runners.BlockJUnit4ClassRunner::rules(Ljava/lang/Object;)Ljava/util/List;,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::getTestClass()Lorg/junit/runners/model/TestClass;,com.tngtech.java.junit.dataprovider.DataProviderRunner::getTestClass()Lorg/junit/runners/model/TestClass;,junit-dataprovider-1.10.2,50
org.seimicrawler.xpath.antlr.XpathParser::qName()Lorg/seimicrawler/xpath/antlr/XpathParser$QNameContext;,JsoupXpath-2.4.3,org.antlr.v4.runtime.TokenStream::LA(I)I,org.antlr.v4.runtime.CommonTokenStream::LA(I)I,antlr4-runtime-4.7.2,129
com.tngtech.java.junit.dataprovider.DataProviderRunner::getDataProviderMethod(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runners/model/FrameworkMethod;,junit-dataprovider-1.10.2,com.tngtech.java.junit.dataprovider.UseDataProvider::value()Ljava/lang/String;,com.sun.proxy.$Proxy18::value()Ljava/lang/String;,com.sun.proxy,4
com.tngtech.java.junit.dataprovider.internal.TestGenerator::explodeTestMethod(Lorg/junit/runners/model/FrameworkMethod;Ljava/lang/Object;Lcom/tngtech/java/junit/dataprovider/DataProvider;)Ljava/util/List;,junit-dataprovider-1.10.2,com.tngtech.java.junit.dataprovider.DataProvider::format()Ljava/lang/String;,com.sun.proxy.$Proxy16::format()Ljava/lang/String;,com.sun.proxy,17
