CallerLibrary	CallerMethod	DeclaredCalleeMethod	DeclaredCalleeLibrary	ActualCalleeMethod	ActualCalleeLibrary	CalleeVisibility	ServiceBypass	Counts
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::disable([Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.core.JsonFactory::disable(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::disable(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::enable([Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.core.JsonFactory::enable(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::enable(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::enable([Lcom/fasterxml/jackson/core/JsonParser$Feature;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.core.JsonFactory::enable(Lcom/fasterxml/jackson/core/JsonParser$Feature;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::enable(Lcom/fasterxml/jackson/core/JsonParser$Feature;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::isEnabled(Lcom/fasterxml/jackson/core/JsonFactory$Feature;)Z"	"com.fasterxml.jackson.core.JsonFactory::isEnabled(Lcom/fasterxml/jackson/core/JsonFactory$Feature;)Z"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::isEnabled(Lcom/fasterxml/jackson/core/JsonFactory$Feature;)Z"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::ObjectMapper(Lcom/fasterxml/jackson/core/JsonFactory;Lcom/fasterxml/jackson/databind/ser/DefaultSerializerProvider;Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;)V"	"com.fasterxml.jackson.core.JsonFactory::getCodec()Lcom/fasterxml/jackson/core/ObjectCodec;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::getCodec()Lcom/fasterxml/jackson/core/ObjectCodec;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::ObjectMapper(Lcom/fasterxml/jackson/core/JsonFactory;Lcom/fasterxml/jackson/databind/ser/DefaultSerializerProvider;Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;)V"	"com.fasterxml.jackson.core.JsonFactory::requiresPropertyOrdering()Z"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::requiresPropertyOrdering()Z"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::ObjectMapper(Lcom/fasterxml/jackson/core/JsonFactory;Lcom/fasterxml/jackson/databind/ser/DefaultSerializerProvider;Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;)V"	"com.fasterxml.jackson.core.JsonFactory::setCodec(Lcom/fasterxml/jackson/core/ObjectCodec;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::setCodec(Lcom/fasterxml/jackson/core/ObjectCodec;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::ObjectMapper(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.core.JsonFactory::copy()Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::copy()Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
