SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.apache.cxf.jaxrs.impl.EntityTagHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.springframework.validation.DataBinder,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.beans.TypeConverter,public,org.springframework:spring-beans:4.3.7.RELEASE,1
org.glassfish.jersey.model.ContractProvider$Builder$1,org.glassfish.jersey.core:jersey-common:2.23.2,jersey.repackaged.com.google.common.collect.Maps$EntryTransformer,public,org.glassfish.jersey.bundles.repackaged:jersey-guava:2.23.2,1
org.apache.cxf.transport.http.AbstractHTTPDestination,org.apache.cxf:cxf-rt-transports-http:3.1.2,org.apache.cxf.transport.Assertor,public,org.apache.cxf:cxf-core:3.1.2,1
org.jvnet.hk2.internal.SingletonContext$1,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.cache.Computable,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.glassfish.jersey.ExtendedConfig,org.glassfish.jersey.core:jersey-common:2.23.2,javax.ws.rs.core.Configuration,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.glassfish.jersey.model.internal.CommonConfig$1,org.glassfish.jersey.core:jersey-common:2.23.2,jersey.repackaged.com.google.common.base.Function,public,org.glassfish.jersey.bundles.repackaged:jersey-guava:2.23.2,1
org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl,xerces:xercesImpl:2.8.1,javax.xml.datatype.XMLGregorianCalendar,public,javax.xml.datatype,1
org.apache.xerces.dom.EntityImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.Entity,public,xml-apis:xml-apis:1.0.b2,1
org.jvnet.hk2.internal.SingletonContext,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.api.Context,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
org.apache.cxf.jaxrs.impl.VariantListBuilderImpl,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.core.Variant$VariantListBuilder,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.jvnet.hk2.internal.ConstantActiveDescriptor,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.AbstractActiveDescriptor,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
org.apache.cxf.jaxrs.impl.ResponseBuilderImpl,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.core.Response$ResponseBuilder,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.xerces.dom.CoreDocumentImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.Document,public,xml-apis:xml-apis:1.0.b2,1
org.jvnet.hk2.internal.PerLocatorUtilities$2,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.general.Hk2ThreadLocal,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.apache.xerces.dom.TextImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.CharacterData,public,xml-apis:xml-apis:1.0.b2,1
org.jvnet.hk2.internal.PerLocatorUtilities$1,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.general.Hk2ThreadLocal,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.springframework.web.bind.ServletRequestParameterPropertyValues,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.beans.MutablePropertyValues,public,org.springframework:spring-beans:4.3.7.RELEASE,1
org.apache.xerces.dom.DocumentImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.events.DocumentEvent,public,xml-apis:xml-apis:1.0.b2,1
org.apache.cxf.jaxrs.impl.NewCookieHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.jvnet.hk2.internal.AutoActiveDescriptor,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.AbstractActiveDescriptor,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
org.springframework.web.util.NestedServletException,org.springframework:spring-web:4.3.7.RELEASE,javax.servlet.ServletException,public,javax.servlet:javax.servlet-api:3.1.0,1
org.springframework.context.ApplicationContext,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.beans.factory.HierarchicalBeanFactory,public,org.springframework:spring-beans:4.3.7.RELEASE,1
org.springframework.http.MediaType,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.util.MimeType,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.xerces.dom.DocumentImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.traversal.DocumentTraversal,public,xml-apis:xml-apis:1.0.b2,1
org.apache.cxf.transport.http.AbstractHTTPDestination,org.apache.cxf:cxf-rt-transports-http:3.1.2,org.apache.cxf.transport.AbstractMultiplexDestination,public,org.apache.cxf:cxf-core:3.1.2,1
org.jvnet.hk2.internal.SingletonContext$2,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.cache.Cache$CycleHandler,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
com.alibaba.fastjson.support.jaxrs.FastJsonProvider,com.alibaba:fastjson:1.2.76,javax.ws.rs.ext.MessageBodyReader,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.cxf.jaxrs.impl.PathSegmentImpl,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.core.PathSegment,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
com.alibaba.fastjson.support.jaxrs.FastJsonProvider,com.alibaba:fastjson:1.2.76,javax.ws.rs.ext.MessageBodyWriter,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.springframework.context.ApplicationContext,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.core.env.EnvironmentCapable,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.apache.cxf.jaxrs.impl.LinkHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.cxf.jaxrs.impl.RuntimeDelegateImpl,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.cxf.jaxrs.impl.DateHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl,xerces:xercesImpl:2.8.1,javax.xml.datatype.DatatypeFactory,public,javax.xml.datatype,1
org.springframework.beans.PropertyAccessException,org.springframework:spring-beans:4.3.7.RELEASE,org.springframework.core.ErrorCoded,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.jvnet.hk2.internal.ServiceLocatorImpl$4,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.cache.Computable,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.jvnet.hk2.internal.ServiceLocatorImpl$3,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.cache.Computable,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.apache.cxf.transport.http.AbstractHTTPDestination,org.apache.cxf:cxf-rt-transports-http:3.1.2,org.apache.cxf.configuration.Configurable,public,org.apache.cxf:cxf-core:3.1.2,1
org.apache.xerces.dom.DocumentImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.ranges.DocumentRange,public,xml-apis:xml-apis:1.0.b2,1
org.jvnet.hk2.internal.ServiceLocatorImpl$8,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.cache.Computable,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.apache.cxf.jaxrs.impl.CookieHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.jvnet.hk2.internal.SystemDescriptor,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.api.ActiveDescriptor,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
org.apache.xerces.jaxp.DocumentBuilderImpl,xerces:xercesImpl:2.8.1,javax.xml.parsers.DocumentBuilder,public,xml-apis:xml-apis:1.0.b2,1
org.glassfish.jersey.model.internal.ComponentBag$2,org.glassfish.jersey.core:jersey-common:2.23.2,jersey.repackaged.com.google.common.base.Predicate,public,org.glassfish.jersey.bundles.repackaged:jersey-guava:2.23.2,1
org.springframework.validation.DataBinder,org.springframework:spring-context:4.3.7.RELEASE,org.springframework.beans.PropertyEditorRegistry,public,org.springframework:spring-beans:4.3.7.RELEASE,1
org.glassfish.jersey.model.internal.ComponentBag$3,org.glassfish.jersey.core:jersey-common:2.23.2,jersey.repackaged.com.google.common.base.Predicate,public,org.glassfish.jersey.bundles.repackaged:jersey-guava:2.23.2,1
org.apache.xerces.dom.NodeImpl,xerces:xercesImpl:2.8.1,org.w3c.dom.Node,public,xml-apis:xml-apis:1.0.b2,1
org.apache.cxf.jaxrs.impl.MetadataMap,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.core.MultivaluedMap,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.jvnet.hk2.internal.ServiceLocatorImpl$9,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.utilities.cache.Computable,public,org.glassfish.hk2:hk2-utils:2.5.0-b05,1
org.apache.cxf.jaxrs.impl.MediaTypeHeaderProvider,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2,javax.ws.rs.ext.RuntimeDelegate$HeaderDelegate,public,javax.ws.rs:javax.ws.rs-api:2.0.1,1
org.apache.xerces.parsers.AbstractSAXParser,xerces:xercesImpl:2.8.1,org.xml.sax.XMLReader,public,xml-apis:xml-apis:1.0.b2,1
org.jvnet.hk2.internal.ThreeThirtyResolver,org.glassfish.hk2:hk2-locator:2.5.0-b05,org.glassfish.hk2.api.InjectionResolver,public,org.glassfish.hk2:hk2-api:2.5.0-b05,1
org.springframework.http.converter.HttpMessageConversionException,org.springframework:spring-web:4.3.7.RELEASE,org.springframework.core.NestedRuntimeException,public,org.springframework:spring-core:4.3.7.RELEASE,1
org.glassfish.jersey.model.internal.ComponentBag$1,org.glassfish.jersey.core:jersey-common:2.23.2,jersey.repackaged.com.google.common.base.Predicate,public,org.glassfish.jersey.bundles.repackaged:jersey-guava:2.23.2,1
