CallerLibrary	ActualCalleeLibrary	ActualCalleeMethod	CalleeVisibility	Counts
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.filter.ThresholdFilter::setLevel(Ljava/lang/String;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.jul.LevelChangePropagator::setResetJUL(Z)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.Level::valueOf(Ljava/lang/String;)Lch/qos/logback/classic/Level;	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.LoggerContext::addTurboFilter(Lch/qos/logback/classic/turbo/TurboFilter;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.sift.MDCBasedDiscriminator::setDefaultValue(Ljava/lang/String;)V	public	2
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.sift.MDCBasedDiscriminator::setKey(Ljava/lang/String;)V	public	2
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.sift.SiftingAppender::setDiscriminator(Lch/qos/logback/core/sift/Discriminator;)V	public	2
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.DynamicThresholdFilter::addMDCValueLevelPair(Lch/qos/logback/classic/turbo/MDCValueLevelPair;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.DynamicThresholdFilter::setDefaultThreshold(Lch/qos/logback/classic/Level;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.DynamicThresholdFilter::setKey(Ljava/lang/String;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.MDCValueLevelPair::setLevel(Lch/qos/logback/classic/Level;)V	public	1
ch.qos.logback:logback-core:1.2.5	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.turbo.MDCValueLevelPair::setValue(Ljava/lang/String;)V	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.Logger::getAppender(Ljava/lang/String;)Lch/qos/logback/core/Appender;	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.LoggerContext::LoggerContext()V	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.spi.ThrowableProxy::getClassName()Ljava/lang/String;	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.boolex.EvaluationException::EvaluationException(Ljava/lang/String;Ljava/lang/Throwable;)V	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.boolex.EventEvaluatorBase::stop()V	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.boolex.JaninoEventEvaluatorBase::evaluate(Ljava/lang/Object;)Z	public	1
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.boolex.Matcher::matches(Ljava/lang/String;)Z	public	3
org.codehaus.janino:janino:3.0.6	ch.qos.logback:logback-core:1.2.5	ch.qos.logback.core.read.ListAppender::append(Ljava/lang/Object;)V	protected	1
org.codehaus.janino:janino:3.0.6	org.slf4j:slf4j-api:1.7.31	org.slf4j.helpers.BasicMarker::contains(Ljava/lang/String;)Z	public	2
org.codehaus.janino:janino:3.0.6	org.slf4j:slf4j-api:1.7.31	org.slf4j.MDC::remove(Ljava/lang/String;)V	public	1
org.slf4j:slf4j-api:1.7.31	ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.classic.Logger::log(Lorg/slf4j/event/LoggingEvent;)V	public	1
cn.wanghaomiao:JsoupXpath:2.5.0	org.jsoup:jsoup:1.14.1	org.jsoup.helper.Validate::notNull(Ljava/lang/Object;)V	public	1
com.alibaba:druid:1.2.5	net.sourceforge.jtds:jtds:1.3.0	net.sourceforge.jtds.jdbc.JtdsConnection::getRmHost()Ljava/lang/String;	public	1
org.apache.logging.log4j:log4j-api:2.13.2	org.apache.logging.log4j:log4j-core:2.13.2	org.apache.logging.log4j.core.selector.ClassLoaderContextSelector::locateContext(Ljava/lang/ClassLoader;Ljava/net/URI;)Lorg/apache/logging/log4j/core/LoggerContext;	private	1
org.apache.logging.log4j:log4j-core:2.13.2	org.apache.logging.log4j:log4j-api:2.13.2	org.apache.logging.log4j.status.StatusLogger::getLogger()Lorg/apache/logging/log4j/status/StatusLogger;	public	1
org.springframework:spring-beans:4.3.20.RELEASE	com.alibaba:druid:1.2.5	com.alibaba.druid.support.ibatis.SpringIbatisBeanNameAutoProxyCreator::setProxyBeanNames(Ljava/util/List;)V	public	1
org.springframework:spring-beans:4.3.20.RELEASE	com.alibaba:druid:1.2.5	com.alibaba.druid.wall.WallConfig::setCreateTableAllow(Z)V	public	1
org.springframework:spring-beans:4.3.20.RELEASE	com.alibaba:druid:1.2.5	com.alibaba.druid.wall.WallConfig::setDir(Ljava/lang/String;)V	public	1
org.springframework:spring-beans:4.3.20.RELEASE	com.alibaba:druid:1.2.5	com.alibaba.druid.wall.WallConfig::setDropTableAllow(Z)V	public	1
