Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.eclipse.jetty.http.HttpGenerator::generateResponse(Lorg/eclipse/jetty/http/MetaData$Response;ZLjava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Z)Lorg/eclipse/jetty/http/HttpGenerator$Result;,jetty-http-9.4.26.v20200117,org.eclipse.jetty.util.BufferUtil::flipToFlush(Ljava/nio/ByteBuffer;I)V,org.eclipse.jetty.util.BufferUtil::flipToFlush(Ljava/nio/ByteBuffer;I)V,jetty-util-9.4.26.v20200117,56
org.eclipse.jetty.server.Request::getParameter(Ljava/lang/String;)Ljava/lang/String;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.MultiMap::getValue(Ljava/lang/String;I)Ljava/lang/Object;,org.eclipse.jetty.util.MultiMap::getValue(Ljava/lang/String;I)Ljava/lang/Object;,jetty-util-9.4.26.v20200117,82
org.eclipse.jetty.server.Response::setHeader(Ljava/lang/String;Ljava/lang/String;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::is(Ljava/lang/String;)Z,org.eclipse.jetty.http.HttpHeader::is(Ljava/lang/String;)Z,jetty-http-9.4.26.v20200117,52
org.eclipse.jetty.util.component.ContainerLifeCycle::setStopTimeout(J)V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStopTimeout(J)V,org.eclipse.jetty.servlet.ServletHandler::setStopTimeout(J)V,jetty-servlet-9.4.26.v20200117,1
org.eclipse.jetty.util.IteratingCallback::processing()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.IteratingCallback::process()Lorg/eclipse/jetty/util/IteratingCallback$Action;,org.eclipse.jetty.server.HttpConnection$SendCallback::process()Lorg/eclipse/jetty/util/IteratingCallback$Action;,jetty-server-9.4.26.v20200117,123
org.eclipse.jetty.util.component.AbstractLifeCycle::start()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStarted()V,org.eclipse.jetty.server.ServerConnector$ServerConnectorManager::setStarted()V,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.util.component.ContainerLifeCycle::doStop()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::doStop()V,org.eclipse.jetty.server.HttpConnectionFactory::doStop()V,jetty-server-9.4.26.v20200117,1
javax.servlet.GenericServlet::init(Ljavax/servlet/ServletConfig;)V,javax.servlet-api-3.1.0,javax.servlet.GenericServlet::init()V,org.jsoup.integration.servlets.HelloServlet::init()V,org.jsoup.integration.servlets,1
org.eclipse.jetty.server.HttpOutput::onWriteComplete(ZLjava/lang/Throwable;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.Callback::succeeded()V,org.eclipse.jetty.util.Callback$4::succeeded()V,jetty-util-9.4.26.v20200117,53
org.eclipse.jetty.servlet.ServletHolder::handle(Lorg/eclipse/jetty/server/Request;Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,jetty-servlet-9.4.26.v20200117,javax.servlet.Servlet::service(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,org.jsoup.integration.servlets.InterruptedServlet::service(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,org.jsoup.integration.servlets,2
org.eclipse.jetty.server.Response::addCookie(Lorg/eclipse/jetty/http/HttpCookie;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.StringUtil::isBlank(Ljava/lang/String;)Z,org.eclipse.jetty.util.StringUtil::isBlank(Ljava/lang/String;)Z,jetty-util-9.4.26.v20200117,2
org.eclipse.jetty.util.component.AbstractLifeCycle::start()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::doStart()V,org.eclipse.jetty.server.HttpConnectionFactory::doStart()V,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,org.eclipse.jetty.server.ServerConnector::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,jetty-server-9.4.26.v20200117,6
org.eclipse.jetty.server.HttpConnection$SendCallback::process()Lorg/eclipse/jetty/util/IteratingCallback$Action;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.BufferUtil::hasContent(Ljava/nio/ByteBuffer;)Z,org.eclipse.jetty.util.BufferUtil::hasContent(Ljava/nio/ByteBuffer;)Z,jetty-util-9.4.26.v20200117,183
org.eclipse.jetty.util.component.ContainerLifeCycle::manage(Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Bean;)V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStopTimeout(J)V,org.eclipse.jetty.server.handler.ErrorHandler::setStopTimeout(J)V,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.server.Request::newMultiParts(Ljavax/servlet/MultipartConfigElement;)Lorg/eclipse/jetty/server/MultiParts;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.log.Logger::isDebugEnabled()Z,org.eclipse.jetty.util.log.StdErrLog::isDebugEnabled()Z,jetty-util-9.4.26.v20200117,2
org.eclipse.jetty.server.handler.AbstractHandler::setServer(Lorg/eclipse/jetty/server/Server;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.server.handler.AbstractHandler::isStarted()Z,org.eclipse.jetty.servlet.ServletHandler::isStarted()Z,jetty-servlet-9.4.26.v20200117,1
org.eclipse.jetty.io.AbstractEndPoint::close(Ljava/lang/Throwable;)V,jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.log.Logger::isDebugEnabled()Z,org.eclipse.jetty.util.log.StdErrLog::isDebugEnabled()Z,jetty-util-9.4.26.v20200117,3
org.eclipse.jetty.io.IdleTimeout::checkIdleTimeout()J,jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.log.Logger::isDebugEnabled()Z,org.eclipse.jetty.util.log.StdErrLog::isDebugEnabled()Z,jetty-util-9.4.26.v20200117,3
org.eclipse.jetty.server.HttpConnection::abort(Ljava/lang/Throwable;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.io.EndPoint::close()V,org.eclipse.jetty.io.SocketChannelEndPoint::close()V,jetty-io-9.4.26.v20200117,1
org.eclipse.jetty.io.SelectorManager::defaultSelectors(Ljava/util/concurrent/Executor;)I,jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.ProcessorUtils::availableProcessors()I,org.eclipse.jetty.util.ProcessorUtils::availableProcessors()I,jetty-util-9.4.26.v20200117,1
org.eclipse.jetty.server.Response::setErrorSent(Z)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.AtomicBiInteger::getAndSetHi(I)I,org.eclipse.jetty.util.AtomicBiInteger::getAndSetHi(I)I,jetty-util-9.4.26.v20200117,56
org.eclipse.jetty.util.SharedBlockingCallback::acquire()Lorg/eclipse/jetty/util/SharedBlockingCallback$Blocker;,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.SharedBlockingCallback::getIdleTimeout()J,org.eclipse.jetty.server.HttpOutput$WriteBlocker::getIdleTimeout()J,jetty-server-9.4.26.v20200117,9
org.eclipse.jetty.server.HttpConnection::onCompleted()V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpGenerator::isPersistent()Z,org.eclipse.jetty.http.HttpGenerator::isPersistent()Z,jetty-http-9.4.26.v20200117,89
org.eclipse.jetty.server.handler.AbstractHandlerContainer::getChildHandlerByClass(Ljava/lang/Class;)Lorg/eclipse/jetty/server/Handler;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.server.handler.AbstractHandlerContainer::expandChildren(Ljava/util/List;Ljava/lang/Class;)V,org.eclipse.jetty.servlet.ServletHandler::expandChildren(Ljava/util/List;Ljava/lang/Class;)V,jetty-servlet-9.4.26.v20200117,1
org.eclipse.jetty.servlet.ServletHandler::addServletWithMapping(Lorg/eclipse/jetty/servlet/ServletHolder;Ljava/lang/String;)V,jetty-servlet-9.4.26.v20200117,org.eclipse.jetty.util.ArrayUtil::addToArray([Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Class;)[Ljava/lang/Object;,org.eclipse.jetty.util.ArrayUtil::addToArray([Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Class;)[Ljava/lang/Object;,jetty-util-9.4.26.v20200117,14
org.eclipse.jetty.server.HttpChannel::onRequest(Lorg/eclipse/jetty/http/MetaData$Request;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MetaData$Request::getURI()Lorg/eclipse/jetty/http/HttpURI;,org.eclipse.jetty.http.MetaData$Request::getURI()Lorg/eclipse/jetty/http/HttpURI;,jetty-http-9.4.26.v20200117,56
