SPI	SPI Implementations
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider,com.alibaba:fastjson:1.2.76
javax.ws.rs.ext.MessageBodyReader	com.sun.jersey.core.impl.provider.entity.StringProvider;com.sun.jersey:jersey-core:1.9
javax.ws.rs.ext.MessageBodyReader	com.fasterxml.jackson.jaxrs.json.JacksonJsonProvider;com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.7.8
javax.ws.rs.ext.MessageBodyReader	com.sun.jersey.json.impl.provider.entity.JSONRootElementProvider$App,com.sun.jersey:jersey-json:1.9
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.50
javax.ws.rs.ext.MessageBodyReader	com.sun.jersey.core.impl.provider.entity.StringProvider,com.sun.jersey:jersey-core:1.9
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.73
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.62
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.76
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.75
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.68
javax.ws.rs.ext.MessageBodyReader	com.sun.jersey.json.impl.provider.entity.JSONRootElementProvider$App;com.sun.jersey:jersey-json:1.9
javax.ws.rs.ext.MessageBodyReader	com.sun.jersey.core.impl.provider.entity.StringProvider;com.sun.jersey:jersey-core:1.19.1
javax.ws.rs.ext.MessageBodyReader	com.fasterxml.jackson.jaxrs.json.JacksonJsonProvider,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.7.8
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.28
javax.ws.rs.ext.MessageBodyReader	com.alibaba.fastjson.support.jaxrs.FastJsonProvider,com.alibaba:fastjson:1.2.73
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jsr310.JavaTimeModule,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.12.3
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.module.jaxb.JaxbAnnotationModule,com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.7.8
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jsr310.JavaTimeModule,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.12.0
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.module.jaxb.JaxbAnnotationModule;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.7.8
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jdk8.Jdk8Module;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.9.10
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.guava.GuavaModule,com.fasterxml.jackson.datatype:jackson-datatype-guava:2.13.0
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.module.afterburner.AfterburnerModule,com.fasterxml.jackson.module:jackson-module-afterburner:2.13.0
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.joda.JodaModule,com.fasterxml.jackson.datatype:jackson-datatype-joda:2.12.3
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.guava.GuavaModule,com.fasterxml.jackson.datatype:jackson-datatype-guava:2.12.3
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.module.paramnames.ParameterNamesModule;com.fasterxml.jackson.module:jackson-module-parameter-names:2.9.10
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jsr310.JSR310Module;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.9
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jdk8.Jdk8Module,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.12.3
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.module.paramnames.ParameterNamesModule,com.fasterxml.jackson.module:jackson-module-parameter-names:2.12.3
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jsr310.JSR310Module;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.10
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.module.paramnames.ParameterNamesModule;com.fasterxml.jackson.module:jackson-module-parameter-names:2.9.9
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jsr310.JavaTimeModule;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.datatype.jdk8.Jdk8Module;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.9.9
org.apache.lucene.analysis.util.TokenizerFactory	,org.apache.lucene:lucene-analyzers-common:8.10.1
org.apache.lucene.analysis.util.TokenizerFactory	,org.apache.lucene:lucene-analyzers-common:8.5.2
org.jboss.shrinkwrap.resolver.api.maven.MavenResolverSystem	org.jboss.shrinkwrap.resolver.impl.maven.MavenResolverSystemImpl,org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven:2.2.6
lombok.core.PostCompilerTransformation	lombok.bytecode.PreventNullAnalysisRemover;org.projectlombok:lombok:1.18.8
lombok.core.PostCompilerTransformation	lombok.bytecode.PreventNullAnalysisRemover;org.projectlombok:lombok:1.16.10
org.mapstruct.ap.spi.AstModifyingAnnotationProcessor	lombok.launch.AnnotationProcessorHider$AstModificationNotifier;org.projectlombok:lombok:1.18.8
org/apache/activemq/transport/discoveryagent/zeroconf	class=org.apache.activemq.transport.discovery.zeroconf.ZeroconfDiscoveryAgentFactory,org.apache.activemq:activemq-client:5.16.0
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider,com.alibaba:fastjson:1.2.76
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.core.impl.provider.entity.StringProvider;com.sun.jersey:jersey-core:1.9
javax.ws.rs.ext.MessageBodyWriter	com.fasterxml.jackson.jaxrs.json.JacksonJsonProvider;com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.7.8
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.json.impl.provider.entity.JSONRootElementProvider$App,com.sun.jersey:jersey-json:1.9
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.50
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.core.impl.provider.entity.StringProvider,com.sun.jersey:jersey-core:1.9
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.73
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.62
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.76
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.75
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.server.impl.template.ViewableMessageBodyWriter,com.sun.jersey:jersey-server:1.9
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.68
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.server.impl.template.ViewableMessageBodyWriter;com.sun.jersey:jersey-server:1.9
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.json.impl.provider.entity.JSONRootElementProvider$App;com.sun.jersey:jersey-json:1.9
javax.ws.rs.ext.MessageBodyWriter	com.sun.jersey.core.impl.provider.entity.StringProvider;com.sun.jersey:jersey-core:1.19.1
javax.ws.rs.ext.MessageBodyWriter	com.fasterxml.jackson.jaxrs.json.JacksonJsonProvider,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.7.8
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider;com.alibaba:fastjson:1.2.28
javax.ws.rs.ext.MessageBodyWriter	com.alibaba.fastjson.support.jaxrs.FastJsonProvider,com.alibaba:fastjson:1.2.73
org.jboss.shrinkwrap.spi.Identifiable	implementingClassName=org.jboss.shrinkwrap.impl.base.IdentifiableArchiveImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.hadoop.io.compress.CompressionCodec	org.apache.hadoop.io.compress.BZip2Codec;org.apache.hadoop:hadoop-common:2.6.0
org.apache.hadoop.io.compress.CompressionCodec	org.apache.hadoop.io.compress.BZip2Codec,org.apache.hadoop:hadoop-common:2.6.0
org.ehcache.xml.CacheManagerServiceConfigurationParser	org.ehcache.jsr107.internal.Jsr107ServiceConfigurationParser;org.ehcache:ehcache:3.3.1
org.ehcache.xml.CacheManagerServiceConfigurationParser	org.ehcache.jsr107.internal.Jsr107ServiceConfigurationParser,org.ehcache:ehcache:3.3.1
org.ehcache.core.spi.service.ServiceFactory	org.ehcache.impl.internal.store.heap.OnHeapStoreProviderFactory,org.ehcache:ehcache:3.3.1
org.ehcache.core.spi.service.ServiceFactory	org.ehcache.impl.internal.store.heap.OnHeapStoreProviderFactory;org.ehcache:ehcache:3.3.1
org.jboss.shrinkwrap.api.importer.ZipImporter	implementingClassName=org.jboss.shrinkwrap.impl.base.importer.zip.ZipImporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.hadoop.hbase.regionserver.wal.MetricsWALSource	org.apache.hadoop.hbase.regionserver.wal.MetricsWALSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.regionserver.wal.MetricsWALSource	org.apache.hadoop.hbase.regionserver.wal.MetricsWALSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler;org.eclipse.jdt.core.compiler:ecj:4.3.1
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler;org.eclipse.jdt.core.compiler:ecj:4.4.2
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler,org.eclipse.jdt:ecj:3.21.0
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler;org.eclipse.jetty:jetty-runner:9.3.20.v20170531
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler,org.eclipse.jetty:jetty-runner:9.3.20.v20170531
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler;org.eclipse.jetty.orbit:org.eclipse.jdt.core:3.8.2.v20130121
javax.tools.JavaCompiler	org.eclipse.jdt.internal.compiler.tool.EclipseCompiler #Eclipse compiler,org.eclipse.jdt.core.compiler:ecj:4.4.2
javax.websocket.ContainerProvider	;org.apache.tomcat.embed:tomcat-embed-websocket:9.0.26
org.jboss.shrinkwrap.spi.Configurable	implementingClassName=org.jboss.shrinkwrap.impl.base.ConfigurableArchiveImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.lucene.analysis.util.CharFilterFactory	,org.apache.lucene:lucene-analyzers-common:8.10.1
org.apache.lucene.analysis.util.CharFilterFactory	,org.apache.lucene:lucene-analyzers-common:8.5.2
org.apache.hadoop.hbase.master.balancer.MetricsBalancerSource	org.apache.hadoop.hbase.master.balancer.MetricsBalancerSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.balancer.MetricsBalancerSource	io.undertow.websockets.jsr.UndertowContainerProvider;io.undertow:undertow-websockets-jsr:2.0.29.Final
org.apache.hadoop.hbase.master.balancer.MetricsBalancerSource	org.apache.hadoop.hbase.master.balancer.MetricsBalancerSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.codehaus.stax2.validation.XMLValidationSchemaFactory.w3c	com.ctc.wstx.msv.W3CSchemaFactory;com.fasterxml.woodstox:woodstox-core:5.0.3
org.codehaus.stax2.validation.XMLValidationSchemaFactory.w3c	com.ctc.wstx.msv.W3CSchemaFactory;org.codehaus.woodstox:woodstox-core-asl:4.4.1
org.codehaus.stax2.validation.XMLValidationSchemaFactory.w3c	com.ctc.wstx.msv.W3CSchemaFactory,org.codehaus.woodstox:woodstox-core-asl:4.4.1
java.security.Provider	org.bouncycastle.jce.provider.BouncyCastleProvider;org.bouncycastle:bcprov-jdk15on:1.64
java.security.Provider	org.bouncycastle.jce.provider.BouncyCastleProvider;org.bouncycastle:bcprov-jdk15on:1.62
java.security.Provider	org.bouncycastle.jce.provider.BouncyCastleProvider,org.bouncycastle:bcprov-jdk15on:1.64
java.security.Provider	org.bouncycastle.jce.provider.BouncyCastleProvider,org.bouncycastle:bcprov-jdk15on:1.69
java.security.Provider	org.bouncycastle.jce.provider.BouncyCastleProvider,com.linecorp.armeria:armeria:1.3.0
java.security.Provider	,org.jboss.sasl:jboss-sasl:1.0.5.Final
org.dayatang.configuration.ConfigurationFactory	org.dayatang.configuration.impl.ConfigurationFactoryImpl,org.dayatang.dddlib:dddlib-configuration:4.6.3-SNAPSHOT
org.apache.batik.script.InterpreterFactory	,org.apache.xmlgraphics:batik-script:1.8
org.apache.hadoop.hbase.master.balancer.MetricsStochasticBalancerSource	org.apache.hadoop.hbase.master.balancer.MetricsStochasticBalancerSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.balancer.MetricsStochasticBalancerSource	org.apache.hadoop.hbase.master.balancer.MetricsStochasticBalancerSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
io.undertow.client.ClientProvider	io.undertow.client.http.HttpClientProvider;io.undertow:undertow-core:2.0.29.Final
org.apache.hadoop.metrics2.MetricsExecutor	org.apache.hadoop.metrics2.lib.MetricsExecutorImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.metrics2.MetricsExecutor	org.apache.hadoop.metrics2.lib.MetricsExecutorImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
lombok.eclipse.handlers.EclipseSingularsRecipes$EclipseSingularizer	lombok.eclipse.handlers.singulars.EclipseGuavaMapSingularizer;org.projectlombok:lombok:1.18.8
lombok.eclipse.handlers.EclipseSingularsRecipes$EclipseSingularizer	lombok.eclipse.handlers.singulars.EclipseGuavaMapSingularizer;org.projectlombok:lombok:1.16.10
org/apache/activemq/transport/discoveryagent/	null,org.apache.activemq:activemq-client:5.16.0
lombok.eclipse.EclipseAnnotationHandler	lombok.eclipse.handlers.HandleAccessors;org.projectlombok:lombok:1.16.10
lombok.eclipse.EclipseAnnotationHandler	lombok.eclipse.handlers.HandleAccessors;org.projectlombok:lombok:1.18.8
org.apache.xmlgraphics.image.writer.ImageWriter	org.apache.xmlgraphics.image.writer.internal.PNGImageWriter,org.apache.xmlgraphics:xmlgraphics-commons:1.5
org.jboss.shrinkwrap.api.importer.TarGzImporter	implementingClassName=org.jboss.shrinkwrap.impl.base.importer.tar.TarGzImporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.xmlgraphics.image.loader.spi.ImageConverter	org.apache.xmlgraphics.image.loader.impl.ImageConverterBuffered2Rendered,org.apache.xmlgraphics:xmlgraphics-commons:1.5
com.linecorp.armeria.client.ClientFactoryProvider	com.linecorp.armeria.internal.client.thrift.THttpClientFactoryProvider,com.linecorp.armeria:armeria-thrift0.13:1.3.0
org.apache.hadoop.crypto.key.KeyProviderFactory	;org.apache.hadoop:hadoop-common:2.6.0
org.apache.hadoop.crypto.key.KeyProviderFactory	,org.apache.hadoop:hadoop-common:2.6.0
javax.money.spi.MonetaryAmountFormatProviderSpi	org.javamoney.moneta.internal.format.DefaultAmountFormatProviderSpi;org.javamoney.moneta:moneta-core:1.3
javax.money.spi.MonetaryAmountFormatProviderSpi	org.javamoney.moneta.internal.format.DefaultAmountFormatProviderSpi,org.javamoney.moneta:moneta-core:1.3
java.util.spi.CalendarDataProvider	org.elasticsearch.common.time.IsoCalendarDataProvider;org.elasticsearch:elasticsearch:7.12.1
org.jboss.shrinkwrap.api.spec.WebArchive	implementingClassName=org.jboss.shrinkwrap.impl.base.spec.WebArchiveImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.eclipse.jetty.websocket.api.extensions.Extension	org.eclipse.jetty.websocket.common.extensions.identity.IdentityExtension,org.eclipse.jetty.websocket:websocket-common:9.3.20.v20170531
org.eclipse.jetty.websocket.api.extensions.Extension	org.eclipse.jetty.websocket.common.extensions.identity.IdentityExtension;org.eclipse.jetty:jetty-runner:9.3.20.v20170531
org.eclipse.jetty.websocket.api.extensions.Extension	org.eclipse.jetty.websocket.common.extensions.identity.IdentityExtension;org.eclipse.jetty.websocket:websocket-common:9.3.20.v20170531
org.eclipse.jetty.websocket.api.extensions.Extension	org.eclipse.jetty.websocket.common.extensions.identity.IdentityExtension,org.eclipse.jetty:jetty-runner:9.3.20.v20170531
com.sun.jersey.spi.container.ResourceMethodDispatchProvider	com.sun.jersey.server.impl.model.method.dispatch.VoidVoidDispatchProvider,com.sun.jersey:jersey-server:1.9
com.sun.jersey.spi.container.ResourceMethodDispatchProvider	com.sun.jersey.server.impl.model.method.dispatch.VoidVoidDispatchProvider;com.sun.jersey:jersey-server:1.9
org.jboss.shrinkwrap.resolver.spi.maven.archive.packaging.PackagingProcessor	org.jboss.shrinkwrap.resolver.impl.maven.archive.packaging.WarPackagingProcessor,org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven-archive:2.2.6
org/apache/activemq/transport/fanout	class=org.apache.activemq.transport.fanout.FanoutTransportFactory,org.apache.activemq:activemq-client:5.16.0
javax.websocket.server.ServerEndpointConfig$Configurator	io.undertow.websockets.jsr.DefaultContainerConfigurator;io.undertow:undertow-websockets-jsr:2.0.29.Final
javax.websocket.server.ServerEndpointConfig$Configurator	;org.apache.tomcat.embed:tomcat-embed-websocket:9.0.26
javax.money.spi.MonetaryAmountFactoryProviderSpi	org.javamoney.moneta.internal.MoneyAmountFactoryProvider,org.javamoney.moneta:moneta-core:1.3
javax.money.spi.MonetaryAmountFactoryProviderSpi	org.javamoney.moneta.internal.MoneyAmountFactoryProvider;org.javamoney.moneta:moneta-core:1.3
javax.xml.stream.XMLOutputFactory	com.ctc.wstx.stax.WstxOutputFactory;org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.xml.stream.XMLOutputFactory	com.ctc.wstx.stax.WstxOutputFactory,org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.xml.stream.XMLOutputFactory	com.ctc.wstx.stax.WstxOutputFactory;com.fasterxml.woodstox:woodstox-core:5.0.3
org.jboss.shrinkwrap.api.serialization.ZipSerializableView	implementingClassName=org.jboss.shrinkwrap.impl.base.serialization.ZipSerializableViewImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.jboss.shrinkwrap.api.exporter.ExplodedExporter	implementingClassName=org.jboss.shrinkwrap.impl.base.exporter.ExplodedExporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
javax.xml.xpath.XPathFactory	org.apache.xpath.jaxp.XPathFactoryImpl;xalan:xalan:2.7.0
javax.xml.xpath.XPathFactory	org.apache.xpath.jaxp.XPathFactoryImpl,xalan:xalan:2.7.2
org.codehaus.stax2.validation.XMLValidationSchemaFactory.relaxng	com.ctc.wstx.msv.RelaxNGSchemaFactory;org.codehaus.woodstox:woodstox-core-asl:4.4.1
org.codehaus.stax2.validation.XMLValidationSchemaFactory.relaxng	com.ctc.wstx.msv.RelaxNGSchemaFactory,org.codehaus.woodstox:woodstox-core-asl:4.4.1
org.codehaus.stax2.validation.XMLValidationSchemaFactory.relaxng	com.ctc.wstx.msv.RelaxNGSchemaFactory;com.fasterxml.woodstox:woodstox-core:5.0.3
org.apache.lucene.codecs.Codec	,org.apache.lucene:lucene-core:8.5.2
org.apache.lucene.codecs.Codec	,org.apache.lucene:lucene-core:8.10.1
org.apache.tika.detect.EncodingDetector	;org.apache.tika:tika-parsers:1.24.1
org.apache.hadoop.hbase.regionserver.MetricsRegionServerSourceFactory	org.apache.hadoop.hbase.regionserver.MetricsRegionServerSourceFactoryImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.regionserver.MetricsRegionServerSourceFactory	org.apache.hadoop.hbase.regionserver.MetricsRegionServerSourceFactoryImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable,com.alibaba:fastjson:1.2.76
org.glassfish.jersey.internal.spi.AutoDiscoverable	org.glassfish.jersey.server.filter.internal.ServerFiltersAutoDiscoverable,org.glassfish.jersey.core:jersey-server:2.25.1
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable,com.alibaba:fastjson:1.2.73
org.glassfish.jersey.internal.spi.AutoDiscoverable	org.glassfish.jersey.server.filter.internal.ServerFiltersAutoDiscoverable;org.glassfish.jersey.core:jersey-server:2.25.1
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable;com.alibaba:fastjson:1.2.68
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable;com.alibaba:fastjson:1.2.76
org.glassfish.jersey.internal.spi.AutoDiscoverable	org.glassfish.jersey.logging.LoggingFeatureAutoDiscoverable,org.glassfish.jersey.core:jersey-common:2.25.1
org.glassfish.jersey.internal.spi.AutoDiscoverable	org.glassfish.jersey.logging.LoggingFeatureAutoDiscoverable,org.glassfish.jersey.core:jersey-common:2.23.2
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable;com.alibaba:fastjson:1.2.75
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable;com.alibaba:fastjson:1.2.50
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable;com.alibaba:fastjson:1.2.73
org.glassfish.jersey.internal.spi.AutoDiscoverable	com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable;com.alibaba:fastjson:1.2.62
org.glassfish.jersey.internal.spi.AutoDiscoverable	org.glassfish.jersey.logging.LoggingFeatureAutoDiscoverable;org.glassfish.jersey.core:jersey-common:2.23.2
org.glassfish.jersey.internal.spi.AutoDiscoverable	org.glassfish.jersey.logging.LoggingFeatureAutoDiscoverable;org.glassfish.jersey.core:jersey-common:2.25.1
org.javamoney.moneta.spi.LoaderService	org.javamoney.moneta.internal.loader.DefaultLoaderService;org.javamoney.moneta:moneta-core:1.3
org.javamoney.moneta.spi.LoaderService	org.javamoney.moneta.internal.loader.DefaultLoaderService,org.javamoney.moneta:moneta-core:1.3
org.apache.abdera.factory.ExtensionFactory.example	com.foo.factories.MyExtensionFactory;org.apache.abdera:abdera-core:1.1.3
org.jboss.shrinkwrap.api.importer.TarBz2Importer	implementingClassName=org.jboss.shrinkwrap.impl.base.importer.tar.TarBz2ImporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.jboss.shrinkwrap.api.importer.TarImporter	implementingClassName=org.jboss.shrinkwrap.impl.base.importer.tar.TarImporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.hadoop.hbase.thrift.MetricsThriftServerSourceFactory	org.apache.hadoop.hbase.thrift.MetricsThriftServerSourceFactoryImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.thrift.MetricsThriftServerSourceFactory	org.apache.hadoop.hbase.thrift.MetricsThriftServerSourceFactoryImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.jboss.shrinkwrap.api.exporter.TarExporter	implementingClassName=org.jboss.shrinkwrap.impl.base.exporter.tar.TarExporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.codehaus.groovy.transform.ASTTransformation	groovy.grape.GrabAnnotationTransformation,org.codehaus.groovy:groovy:2.3.9
org.codehaus.groovy.transform.ASTTransformation	groovy.grape.GrabAnnotationTransformation;org.codehaus.groovy:groovy:2.4.0;
com.sun.tools.internal.ws.wscompile.Plugin	com.sun.tools.internal.ws.wscompile.plugin.at_generated.PluginImpl;com.sun:tools:1.8
com.sun.tools.internal.ws.wscompile.Plugin	com.sun.tools.internal.ws.wscompile.plugin.at_generated.PluginImpl,com.alibaba:tools:1.8.0
com.sun.tools.internal.ws.wscompile.Plugin	com.sun.tools.internal.ws.wscompile.plugin.at_generated.PluginImpl,com.sun:tools:1.8
com.sun.tools.internal.ws.wscompile.Plugin	1.8.0;com.sun.tools.internal.ws.wscompile.plugin.at_generated.PluginImpl;com.sun:tools:1.8.0
com.sun.tools.internal.ws.wscompile.Plugin	com.sun.tools.internal.ws.wscompile.plugin.at_generated.PluginImpl;com.alibaba:tools:1.8.0
reactor.blockhound.integration.BlockHoundIntegration	,org.springframework:spring-core:5.3.2
reactor.blockhound.integration.BlockHoundIntegration	io.netty.util.internal.Hidden$NettyBlockHoundIntegration,io.netty:netty-common:4.1.54.Final
org.apache.hadoop.hbase.ipc.MetricsHBaseServerSourceFactory	org.apache.hadoop.hbase.ipc.MetricsHBaseServerSourceFactoryImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.ipc.MetricsHBaseServerSourceFactory	org.apache.hadoop.hbase.ipc.MetricsHBaseServerSourceFactoryImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.jboss.shrinkwrap.api.spec.EnterpriseArchive	implementingClassName=org.jboss.shrinkwrap.impl.base.spec.EnterpriseArchiveImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
javax.annotation.processing.Processor	org.eclipse.sisu.space.SisuIndexAPT6;org.eclipse.sisu:org.eclipse.sisu.inject:0.3.3
javax.annotation.processing.Processor	org.apache.logging.log4j.core.config.plugins.processor.PluginProcessor,org.apache.logging.log4j:log4j-core:2.13.2
javax.annotation.processing.Processor	org.apache.logging.log4j.core.config.plugins.processor.PluginProcessor,org.apache.logging.log4j:log4j-core:2.13.3
javax.annotation.processing.Processor	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor;org.springframework.boot:spring-boot-configuration-processor:2.1.9.RELEASE
javax.annotation.processing.Processor	org.apache.logging.log4j.core.config.plugins.processor.PluginProcessor;org.apache.logging.log4j:log4j-core:2.13.2
javax.annotation.processing.Processor	org.openjdk.jmh.generators.BenchmarkProcessor,org.openjdk.jmh:jmh-generator-annprocess:1.27
javax.annotation.processing.Processor	org.immutables.processor.ProxyProcessor,org.immutables:value:2.8.8
javax.annotation.processing.Processor	javaslang.match.PatternsProcessor;io.javaslang:javaslang-match:2.0.6
