SubClass,Sub Library,Super Class/Interface,Super Library
org.seimicrawler.xpath.antlr.XpathParser$MultiplicativeExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
ch.qos.logback.classic.pattern.ClassicConverter,logback-classic-1.2.3,ch.qos.logback.core.pattern.DynamicConverter,logback-core-1.2.3
org.seimicrawler.xpath.antlr.XpathParser$ExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.core.node.Text$1,JsoupXpath-2.4.3,org.jsoup.select.NodeVisitor,jsoup-1.13.1
org.seimicrawler.xpath.antlr.XpathParser$PredicateContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathVisitor,JsoupXpath-2.4.3,org.antlr.v4.runtime.tree.ParseTreeVisitor,antlr4-runtime-4.7.2
org.seimicrawler.xpath.antlr.XpathParser$PrimaryExprContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
ch.qos.logback.classic.Logger,logback-classic-1.2.3,ch.qos.logback.core.spi.AppenderAttachable,logback-core-1.2.3
ch.qos.logback.classic.LoggerContext,logback-classic-1.2.3,org.slf4j.ILoggerFactory,slf4j-api-1.7.25
ch.qos.logback.classic.spi.ILoggingEvent,logback-classic-1.2.3,ch.qos.logback.core.spi.DeferredProcessingAware,logback-core-1.2.3
com.tngtech.java.junit.dataprovider.DataProviderRunner$1,junit-dataprovider-1.10.2,org.junit.runners.model.Statement,junit-4.12
org.seimicrawler.xpath.antlr.XpathParser$QNameContext,JsoupXpath-2.4.3,org.antlr.v4.runtime.ParserRuleContext,antlr4-runtime-4.7.2
com.tngtech.java.junit.dataprovider.DataProviderRunner$2,junit-dataprovider-1.10.2,org.junit.runners.model.Statement,junit-4.12
