Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.jboss.weld:weld-core:1.1.33.Final	javax.enterprise.inject.spi.InterceptionType::POST_CONSTRUCT	javax.enterprise.inject.spi.InterceptionType	javax.enterprise.inject.spi.InterceptionType	javax.enterprise.inject.spi.InterceptionType	true	public	javax.enterprise:cdi-api:1.0-SP1	false	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.hibernate.type.ComponentType::propertyTypes	org.hibernate.type.ComponentType	org.hibernate.type.ComponentType	org.hibernate.type.Type[]	false	private	org.hibernate:hibernate-core:4.3.11.Final	true	2
org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.model.InterceptionType::AROUND_INVOKE	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	true	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	false	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.collections4.functors.InstantiateTransformer::iParamTypes	org.apache.commons.collections4.functors.InstantiateTransformer	org.apache.commons.collections4.functors.InstantiateTransformer	java.lang.Class<?>[]	false	private	org.apache.commons:commons-collections4:4.0	true	1
org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.model.InterceptionType::POST_ACTIVATE	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	true	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	false	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.mozilla.javascript.ScriptableObject$GetterSlot::getter	org.mozilla.javascript.ScriptableObject$GetterSlot	org.mozilla.javascript.ScriptableObject$GetterSlot	java.lang.Object	false	default	rhino:js:1.7R2	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.beanutils.BeanComparator::property	org.apache.commons.beanutils.BeanComparator	org.apache.commons.beanutils.BeanComparator	java.lang.String	false	private	commons-beanutils:commons-beanutils:1.9.2	true	1
com.mchange:c3p0:0.9.5.2	com.mchange.v2.log.MLevel::FINEST	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	true	public	com.mchange:mchange-commons-java:0.2.11	false	2
org.slf4j:slf4j-api:1.7.21	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	true	public	org.slf4j:slf4j-jdk14:1.7.21	false	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.wicket.util.upload.DiskFileItem::sizeThreshold	org.apache.wicket.util.upload.DiskFileItem	org.apache.wicket.util.upload.DiskFileItem	int	false	private	org.apache.wicket:wicket-util:6.23.0	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	bsh.XThis::invocationHandler	bsh.XThis	bsh.XThis	java.lang.reflect.InvocationHandler	false	default	org.beanshell:bsh:2.0b5	true	1
org.slf4j:slf4j-api:1.7.21	org.slf4j.impl.StaticMarkerBinder::SINGLETON	org.slf4j.impl.StaticMarkerBinder	org.slf4j.impl.StaticMarkerBinder	org.slf4j.impl.StaticMarkerBinder	true	public	org.slf4j:slf4j-jdk14:1.7.21	false	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.mozilla.javascript.NativeJavaObject::javaObject	org.mozilla.javascript.NativeJavaObject	org.mozilla.javascript.NativeJavaObject	java.lang.Object	false	protected	rhino:js:1.7R2	true	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.mozilla.javascript.NativeJavaArray::prototype	org.mozilla.javascript.NativeJavaObject	org.mozilla.javascript.NativeJavaArray	org.mozilla.javascript.Scriptable	false	protected	rhino:js:1.7R2	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.hibernate.engine.spi.TypedValue::type	org.hibernate.engine.spi.TypedValue	org.hibernate.engine.spi.TypedValue	org.hibernate.type.Type	false	private	org.hibernate:hibernate-core:4.3.11.Final	true	4
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.fileupload.disk.DiskFileItem::sizeThreshold	org.apache.commons.fileupload.disk.DiskFileItem	org.apache.commons.fileupload.disk.DiskFileItem	int	false	private	commons-fileupload:commons-fileupload:1.3	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	com.sun.corba.se.spi.orbutil.proxy.CompositeInvocationHandlerImpl::defaultHandler	com.sun.corba.se.spi.orbutil.proxy.CompositeInvocationHandlerImpl	com.sun.corba.se.spi.orbutil.proxy.CompositeInvocationHandlerImpl	java.lang.reflect.InvocationHandler	false	private	unknownLib	true	1
org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.model.InterceptionType::POST_CONSTRUCT	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	true	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	false	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	javax.management.openmbean.TabularDataSupport::dataMap	javax.management.openmbean.TabularDataSupport	javax.management.openmbean.TabularDataSupport	java.util.Map<java.lang.Object, javax.management.openmbean.CompositeData>	false	private	unknownLib	true	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	com.sun.org.apache.xalan.internal.xsltc.trax.TemplatesImpl::_bytecodes	com.sun.org.apache.xalan.internal.xsltc.trax.TemplatesImpl	com.sun.org.apache.xalan.internal.xsltc.trax.TemplatesImpl	byte[][]	false	private	unknownLib	true	14
org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.model.InterceptionType::AROUND_TIMEOUT	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	true	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	false	4
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.hibernate.engine.spi.TypedValue::value	org.hibernate.engine.spi.TypedValue	org.hibernate.engine.spi.TypedValue	java.lang.Object	false	private	org.hibernate:hibernate-core:4.3.11.Final	true	4
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.fileupload.disk.DiskFileItem::dfos	org.apache.commons.fileupload.disk.DiskFileItem	org.apache.commons.fileupload.disk.DiskFileItem	org.apache.commons.io.output.DeferredFileOutputStream	false	private	commons-fileupload:commons-fileupload:1.3	true	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.collections.functors.ChainedTransformer::iTransformers	org.apache.commons.collections.functors.ChainedTransformer	org.apache.commons.collections.functors.ChainedTransformer	org.apache.commons.collections.Transformer[]	false	private	commons-collections:commons-collections:3.1	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.jboss.interceptor.spi.model.InterceptionType::POST_ACTIVATE	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	true	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	false	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.collections4.functors.ConstantTransformer::iConstant	org.apache.commons.collections4.functors.ConstantTransformer	org.apache.commons.collections4.functors.ConstantTransformer	O	false	private	org.apache.commons:commons-collections4:4.0	true	1
com.mchange:c3p0:0.9.5.2	com.mchange.v2.log.MLevel::FINE	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	true	public	com.mchange:mchange-commons-java:0.2.11	false	53
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.collections4.functors.InvokerTransformer::iMethodName	org.apache.commons.collections4.functors.InvokerTransformer	org.apache.commons.collections4.functors.InvokerTransformer	java.lang.String	false	private	org.apache.commons:commons-collections4:4.0	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	java.util.HashMap$Node::key	java.util.HashMap$Node	java.util.HashMap$Node	K	false	default	unknownLib	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.mozilla.javascript.NativeJavaObject::parent	org.mozilla.javascript.NativeJavaObject	org.mozilla.javascript.NativeJavaObject	org.mozilla.javascript.Scriptable	false	protected	rhino:js:1.7R2	true	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	com.sun.org.apache.xalan.internal.xsltc.trax.TemplatesImpl::_tfactory	com.sun.org.apache.xalan.internal.xsltc.trax.TemplatesImpl	com.sun.org.apache.xalan.internal.xsltc.trax.TemplatesImpl	com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl	false	private	unknownLib	true	14
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.jboss.weld.interceptor.spi.model.InterceptionType::POST_ACTIVATE	org.jboss.weld.interceptor.spi.model.InterceptionType	org.jboss.weld.interceptor.spi.model.InterceptionType	org.jboss.weld.interceptor.spi.model.InterceptionType	true	public	org.jboss.weld:weld-core:1.1.33.Final	false	2
com.mchange:c3p0:0.9.5.2	com.mchange.v2.log.MLevel::WARNING	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	true	public	com.mchange:mchange-commons-java:0.2.11	false	34
com.mchange:c3p0:0.9.5.2	com.mchange.v2.log.MLevel::SEVERE	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	true	public	com.mchange:mchange-commons-java:0.2.11	false	4
org.jboss.weld:weld-core:1.1.33.Final	javax.enterprise.inject.spi.InterceptionType::AROUND_INVOKE	javax.enterprise.inject.spi.InterceptionType	javax.enterprise.inject.spi.InterceptionType	javax.enterprise.inject.spi.InterceptionType	true	public	javax.enterprise:cdi-api:1.0-SP1	false	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	com.sun.corba.se.spi.orbutil.proxy.CompositeInvocationHandlerImpl::classToInvocationHandler	com.sun.corba.se.spi.orbutil.proxy.CompositeInvocationHandlerImpl	com.sun.corba.se.spi.orbutil.proxy.CompositeInvocationHandlerImpl	java.util.Map	false	private	unknownLib	true	1
