Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.1	java.lang.reflect.Constructor	public	io.restassured.path.json.support.Winner::io.restassured.path.json.support.Winner()V		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.1	java.lang.reflect.Method	public	io.restassured.path.json.support.Book::setAuthor(Ljava/lang/String;)V		unknownLib
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.6.2	java.lang.reflect.Constructor	public	io.restassured.path.json.support.Greeting::io.restassured.path.json.support.Greeting()V		unknownLib
org.codehaus.jackson.map.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;)V	org.codehaus.jackson:jackson-mapper-asl:1.9.11	java.lang.reflect.Constructor	public	io.restassured.path.json.support.Greeting::io.restassured.path.json.support.Greeting()V		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.1	java.lang.reflect.Method	public	io.restassured.path.json.support.Book::setTitle(Ljava/lang/String;)V		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.1	java.lang.reflect.Method	public	io.restassured.path.json.support.Winner::setNumbers(Ljava/util/List;)V		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.1	java.lang.reflect.Constructor	public	io.restassured.path.json.support.Book::io.restassured.path.json.support.Book()V		unknownLib
org.apache.johnzon.mapper.access.FieldAccessMode$FieldDecoratedType::FieldAccessMode$FieldDecoratedType(Ljava/lang/reflect/Field;Ljava/lang/reflect/Type;)V	org.apache.johnzon:johnzon-mapper:1.1.11	java.lang.reflect.Field	private	io.restassured.path.json.support.Greeting::lastName	java.lang.String	unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.1	java.lang.reflect.Method	public	io.restassured.path.json.support.Greeting::setFirstName(Ljava/lang/String;)V		unknownLib
org.codehaus.jackson.map.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;)V	org.codehaus.jackson:jackson-mapper-asl:1.9.11	java.lang.reflect.Method	public	io.restassured.path.json.support.Greeting::setFirstName(Ljava/lang/String;)V		unknownLib
