Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.hibernate.validator.cdi.HibernateValidator	-	-	org.hibernate:hibernate-validator-cdi:5.1.0.Final	javax.inject.Qualifier	public	javax.inject:javax.inject:1	1
br.com.caelum.vraptor.interceptor.NoInterceptMethodsValidationRule	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.Dependent	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.interceptor.CustomAndInternalAcceptsValidationRule	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.Dependent	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.view.DefaultAcceptHeaderToFormat	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.ConversionException	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.LongConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.interceptor.WithAnnotationAcceptor	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.Dependent	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.proxy.ProxyCreationException	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerialization	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.RequestScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.view.DefaultValidationViewsFactory	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.RequestScoped	public	javax.enterprise:cdi-api:1.1	1
org.hibernate.validator.constraints.NotBlank	-	-	org.hibernate:hibernate-validator:5.1.0.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:1.1.0.Final	1
br.com.caelum.vraptor.converter.PrimitiveCharConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.PrimitiveBooleanConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Alternative	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.util.test.MockedLogic	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.http.DefaultControllerTranslator	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.http.iogi.RequestAttributeInstantiator	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.interceptor.CustomAcceptsVerifier	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.http.route.DefaultTypeFinder	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.PrimitiveFloatConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.RequestScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.proxy.CDIProxies	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.inject.Vetoed	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.http.route.DefaultRouter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.http.iogi.IogiParametersProvider	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.RequestScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.Convert	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.RequestScoped	public	javax.enterprise:cdi-api:1.1	1
br.com.caelum.vraptor.converter.PrimitiveBooleanConverter	-	-	br.com.caelum:vraptor:4.2.2	javax.enterprise.context.ApplicationScoped	public	javax.enterprise:cdi-api:1.1	1
