Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.2.4	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$Order::price	double	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.serialization.Serializer_$$_jvst16b_d::_filter_signature	byte[]	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Person::dog	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Dog	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.iogi.MiscIogiSupportTest$House::setCat(Lbr/com/caelum/vraptor/http/iogi/MiscIogiSupportTest$Cat;)V		unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Item::name	java.lang.String	unknownLib
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider::newInstance(Ljava/lang/Class;)Ljava/lang/Object;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Constructor	default	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$DogWithAnnotations::br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$DogWithAnnotations()V		unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.view.LinkToHandlerTest$TestController$linkTo$path_$$_jvst16b_19::method(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/String;		unknownLib
net.vidageek.mirror.provider.java.PureJavaConstructorReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Constructor	public	br.com.caelum.vraptor.http.iogi.IogiGenericTypesSupportTest$Cat::br.com.caelum.vraptor.http.iogi.IogiGenericTypesSupportTest$Cat()V		unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.interceptor.example.InterceptorWithCustomizedAccepts::before()V		unknownLib
org.hibernate.validator.internal.util.privilegedactions.GetAnnotationParameter::run()Ljava/lang/Object;	org.hibernate:hibernate-validator:5.1.0.Final	java.lang.reflect.Method	public	com.sun.proxy.$Proxy25::groups()[Ljava/lang/Class;		unknownLib
