	com.fasterxml.jackson.core	com.fasterxml.jackson.core.async	com.fasterxml.jackson.core.base	com.fasterxml.jackson.core.exc	com.fasterxml.jackson.core.filter	com.fasterxml.jackson.core.format	com.fasterxml.jackson.core.io	com.fasterxml.jackson.core.json	com.fasterxml.jackson.core.json.async	com.fasterxml.jackson.core.sym	com.fasterxml.jackson.core.type	com.fasterxml.jackson.core.util
com.capitalone.dashboard:core	2	0	0	3	3	2	2	1	3	2	3	2
com.fasterxml.jackson.core:jackson-core	10	0	0	18	16	19	11	12	13	16	20	11
com.fasterxml.jackson.core:jackson-databind	17	0	0	27	26	21	17	11	26	20	27	19
com.googlecode.ez-vcard:ez-vcard	1	0	0	2	2	2	2	1	2	2	2	2
org.elasticsearch:elasticsearch-x-content	1	0	0	2	2	2	2	1	2	2	2	1
org.owasp:dependency-check-core	1	0	0	2	2	2	2	1	2	2	2	2
org.springframework.data:spring-data-elasticsearch	1	0	0	2	2	2	2	1	2	2	2	2
