Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.slf4j.impl.Log4jLoggerAdapter::info(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.slf4j:slf4j-log4j12:1.7.9	public	org.apache.log4j.Logger::isInfoEnabled()Z	log4j:log4j:1.2.17	org.apache.log4j.Logger::isInfoEnabled()Z	log4j:log4j:1.2.17	2	false	false	
org.springframework.beans.factory.support.AbstractBeanFactory::getRegisteredScope(Ljava/lang/String;)Lorg/springframework/beans/factory/config/Scope;	org.springframework:spring:2.5.6.SEC03	public	org.springframework.util.Assert::notNull(Ljava/lang/Object;Ljava/lang/String;)V	org.springframework:spring-core:4.3.20.RELEASE	org.springframework.util.Assert::notNull(Ljava/lang/Object;Ljava/lang/String;)V	org.springframework:spring-core:4.3.20.RELEASE	322	false	false	
org.apache.logging.log4j.core.appender.ConsoleAppender::getOutputStream(ZZLorg/apache/logging/log4j/core/appender/ConsoleAppender$Target;)Ljava/io/OutputStream;	org.apache.logging.log4j:log4j-core:2.13.2	public	org.apache.logging.log4j.util.PropertiesUtil::isOsWindows()Z	org.apache.logging.log4j:log4j-api:2.13.2	org.apache.logging.log4j.util.PropertiesUtil::isOsWindows()Z	org.apache.logging.log4j:log4j-api:2.13.2	2	false	false	
org.springframework.core.convert.Property::hashCode()I	org.springframework:spring-core:4.3.20.RELEASE	public	org.springframework.util.ObjectUtils::nullSafeHashCode(Ljava/lang/Object;)I	org.springframework:spring:2.5.6.SEC03	org.springframework.util.ObjectUtils::nullSafeHashCode(Ljava/lang/Object;)I	org.springframework:spring:2.5.6.SEC03	182	false	false	
org.apache.logging.log4j.core.util.Loader::newCheckedInstanceOfProperty(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	org.apache.logging.log4j:log4j-core:2.13.2	public	org.apache.logging.log4j.util.PropertiesUtil::getProperties()Lorg/apache/logging/log4j/util/PropertiesUtil;	org.apache.logging.log4j:log4j-api:2.13.2	org.apache.logging.log4j.util.PropertiesUtil::getProperties()Lorg/apache/logging/log4j/util/PropertiesUtil;	org.apache.logging.log4j:log4j-api:2.13.2	2	false	false	
org.springframework.context.expression.StandardBeanExpressionResolver::evaluate(Ljava/lang/String;Lorg/springframework/beans/factory/config/BeanExpressionContext;)Ljava/lang/Object;	org.springframework:spring-context:4.3.20.RELEASE	public	org.springframework.beans.factory.config.ConfigurableBeanFactory::getConversionService()Lorg/springframework/core/convert/ConversionService;	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.factory.support.DefaultListableBeanFactory::getConversionService()Lorg/springframework/core/convert/ConversionService;	org.springframework:spring:2.5.6.SEC03	7	false	false	
org.slf4j.impl.Log4jLoggerAdapter::info(Ljava/lang/String;Ljava/lang/Object;)V	org.slf4j:slf4j-log4j12:1.7.9	public	org.slf4j.helpers.FormattingTuple::getMessage()Ljava/lang/String;	org.apache.kylin:kylin-jdbc:2.0.0	org.slf4j.helpers.FormattingTuple::getMessage()Ljava/lang/String;	org.apache.kylin:kylin-jdbc:2.0.0	2	false	false	
org.slf4j.impl.Log4jLoggerFactory::getLogger(Ljava/lang/String;)Lorg/slf4j/Logger;	org.slf4j:slf4j-log4j12:1.7.9	public	org.apache.log4j.LogManager::getLogger(Ljava/lang/String;)Lorg/apache/log4j/Logger;	log4j:log4j:1.2.17	org.apache.log4j.LogManager::getLogger(Ljava/lang/String;)Lorg/apache/log4j/Logger;	log4j:log4j:1.2.17	99	false	false	
org.apache.logging.log4j.core.LoggerContext::getLogger(Ljava/lang/String;Lorg/apache/logging/log4j/message/MessageFactory;)Lorg/apache/logging/log4j/core/Logger;	org.apache.logging.log4j:log4j-core:2.13.2	public	org.apache.logging.log4j.spi.LoggerRegistry::getLogger(Ljava/lang/String;Lorg/apache/logging/log4j/message/MessageFactory;)Lorg/apache/logging/log4j/spi/ExtendedLogger;	org.apache.logging.log4j:log4j-api:2.13.2	org.apache.logging.log4j.spi.LoggerRegistry::getLogger(Ljava/lang/String;Lorg/apache/logging/log4j/message/MessageFactory;)Lorg/apache/logging/log4j/spi/ExtendedLogger;	org.apache.logging.log4j:log4j-api:2.13.2	112	false	false	
org.springframework.aop.framework.autoproxy.BeanFactoryAdvisorRetrievalHelper::findAdvisorBeans()Ljava/util/List;	org.springframework:spring-aop:4.3.20.RELEASE	public	org.springframework.beans.factory.config.ConfigurableListableBeanFactory::getBean(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	org.springframework:spring:2.5.6.SEC03	org.springframework.beans.factory.support.DefaultListableBeanFactory::getBean(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	org.springframework:spring:2.5.6.SEC03	12	false	false	
