Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.owasp.dependencycheck.xml.hints.HintParseException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.ExtractionUtil	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.DBUtils	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.suppression.PropertyType	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.analyzer.AbstractNpmAnalyzer	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.pom.PomParseException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.nexus.MavenArtifact	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.hints.HintHandler	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.update.exception.UpdateException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.update.UpdateService	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.hints.HintParser	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
com.fasterxml.jackson.databind.annotation.JsonSerialize	-	-	com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JacksonAnnotation	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	1
org.owasp.dependencycheck.dependency.Vulnerability	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.nvdcve.DatabaseException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.XmlInputStream	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.analyzer.AbstractAnalyzer	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.pom.Model	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.assembly.GrokParser	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.assembly.GrokHandler	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.assembly.GrokParseException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.nvdcve.DriverLoadException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.pom.PomHandler	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.assembly.GrokErrorHandler	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.ResourceNotFoundException	-	-	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.analyzer.HintAnalyzer	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.DependencyVersion	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.suppression.SuppressionErrorHandler	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.dependency.VulnerableSoftware	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.analyzer.exception.ArchiveExtractionException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
com.google.common.hash.PrimitiveSink	-	-	com.google.guava:guava:31.0.1-jre	com.google.errorprone.annotations.CanIgnoreReturnValue	public	com.google.errorprone:error_prone_annotations:2.7.1	1
org.owasp.dependencycheck.exception.WriteLockException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.suppression.SuppressionParseException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.nvdcve.DatabaseManager	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.dependency.EvidenceCollection	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.DependencyVersionUtil	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.pom.PomUtils	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.XmlEntity	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
