Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.springframework.boot.actuate.autoconfigure.audit.AuditAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.hibernate.validator.constraints.EAN	-	-	org.hibernate.validator:hibernate-validator:6.0.17.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:2.0.1.Final	1
springfox.documentation.swagger2.mappers.ParameterMapperImpl	-	-	io.springfox:springfox-swagger2:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.swagger2.mappers.ServiceModelToSwagger2MapperImpl	-	-	io.springfox:springfox-swagger2:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$NettyWebServerFactoryCustomizerConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.hibernate.validator.constraints.pl.REGON	-	-	org.hibernate.validator:hibernate-validator:6.0.17.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:2.0.1.Final	1
org.springframework.boot.autoconfigure.http.JsonbHttpMessageConvertersConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.management.HeapDumpWebEndpointAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.metrics.web.client.RestTemplateMetricsConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.readers.operation.OperationParameterHeadersConditionReader	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.hibernate.validator.constraints.time.DurationMax	-	-	org.hibernate.validator:hibernate-validator:6.0.17.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:2.0.1.Final	1
org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.stereotype.Controller	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$ThymeleafDefaultConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.readers.operation.OperationParameterRequestConditionReader	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
de.codecentric.boot.admin.server.config.AdminServerAutoConfiguration	-	-	de.codecentric:spring-boot-admin-server:2.1.6	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.scheduling.ScheduledTasksEndpointAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.scanners.ApiListingReferenceScanner	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.health.HealthEndpointConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.plugins.WebMvcRequestHandlerProvider	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.context.properties.ConfigurationPropertiesReportEndpointAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.web.servlet.ServletManagementContextAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.metrics.LogbackMetricsAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.swagger.readers.operation.OperationSummaryReader	-	-	io.springfox:springfox-swagger-common:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.readers.operation.DefaultTagsProvider	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.hibernate.validator.constraints.Email	-	-	org.hibernate.validator:hibernate-validator:6.0.17.Final	javax.validation.ReportAsSingleViolation	public	javax.validation:validation-api:2.0.1.Final	1
springfox.documentation.swagger.readers.operation.OperationHttpMethodReader	-	-	io.springfox:springfox-swagger-common:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.web.client.RestTemplateAutoConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
