Library Name	No. of Public/Protected Methods	No. of Public/Protected Classes	No. of Public/Protected Fields	No. of Public/Protected Annotations	No. of Methods Called By Tests	Methods	Classes	Fields	Annotations
unknownLib	0	0	0	0	0	 
org.eclipse.jetty.http2:http2-hpack:9.4.42.v20210604	63	15	6	0	0		org.eclipse.jetty.http2.hpack.HpackEncoder:org.eclipse.jetty.http2.hpack.HpackContext$1:org.eclipse.jetty.http2.hpack.HpackContext$StaticEntry:org.eclipse.jetty.http2.hpack.AuthorityHttpField:org.eclipse.jetty.http2.hpack.HpackException$StreamException:org.eclipse.jetty.http2.hpack.HpackException$SessionException:org.eclipse.jetty.http2.hpack.HpackContext:org.eclipse.jetty.http2.hpack.HpackContext$Entry:org.eclipse.jetty.http2.hpack.HpackFieldPreEncoder:org.eclipse.jetty.http2.hpack.NBitInteger:org.eclipse.jetty.http2.hpack.HpackException:org.eclipse.jetty.http2.hpack.MetaDataBuilder$1:org.eclipse.jetty.http2.hpack.Huffman:org.eclipse.jetty.http2.hpack.HpackException$CompressionException:org.eclipse.jetty.http2.hpack.HpackContext$DynamicTable:org.eclipse.jetty.http2.hpack.StaticTableHttpField:org.eclipse.jetty.http2.hpack.HpackDecoder$1:org.eclipse.jetty.http2.hpack.HpackDecoder:org.eclipse.jetty.http2.hpack.MetaDataBuilder
com.fasterxml.jackson.datatype:jackson-datatype-guava:2.12.3	251	40	27	0	0		com.fasterxml.jackson.datatype.guava.deser.util.RangeFactory:com.fasterxml.jackson.datatype.guava.deser.LinkedHashMultisetDeserializer:com.fasterxml.jackson.datatype.guava.deser.ImmutableListDeserializer:com.fasterxml.jackson.datatype.guava.deser.GuavaImmutableMapDeserializer:com.fasterxml.jackson.datatype.guava.deser.ImmutableSortedMultisetDeserializer:com.fasterxml.jackson.datatype.guava.deser.RangeDeserializer:com.fasterxml.jackson.datatype.guava.deser.multimap.set.HashMultimapDeserializer:com.fasterxml.jackson.datatype.guava.deser.InternetDomainNameDeserializer:com.fasterxml.jackson.datatype.guava.GuavaDeserializers:com.fasterxml.jackson.datatype.guava.deser.multimap.GuavaMultimapDeserializer:com.fasterxml.jackson.datatype.guava.deser.ImmutableSortedMapDeserializer:com.fasterxml.jackson.datatype.guava.deser.ImmutableBiMapDeserializer:com.fasterxml.jackson.datatype.guava.deser.multimap.list.ArrayListMultimapDeserializer:com.fasterxml.jackson.datatype.guava.deser.ImmutableSortedSetDeserializer:com.fasterxml.jackson.datatype.guava.ser.MultimapSerializer:com.fasterxml.jackson.datatype.guava.PackageVersion:com.fasterxml.jackson.datatype.guava.deser.GuavaMultisetDeserializer:com.fasterxml.jackson.datatype.guava.ser.TableSerializer:com.fasterxml.jackson.datatype.guava.deser.GuavaCollectionDeserializer:com.fasterxml.jackson.datatype.guava.deser.ImmutableSetDeserializer:com.fasterxml.jackson.datatype.guava.ser.GuavaOptionalSerializer:com.fasterxml.jackson.datatype.guava.ser.RangeSetSerializer:com.fasterxml.jackson.datatype.guava.GuavaSerializers$FluentConverter:com.fasterxml.jackson.datatype.guava.ser.GuavaOptionalBeanPropertyWriter:com.fasterxml.jackson.datatype.guava.ser.RangeSerializer:com.fasterxml.jackson.datatype.guava.GuavaTypeModifier:com.fasterxml.jackson.datatype.guava.deser.ImmutableMultisetDeserializer:com.fasterxml.jackson.datatype.guava.ser.GuavaBeanSerializerModifier:com.fasterxml.jackson.datatype.guava.deser.GuavaImmutableCollectionDeserializer:com.fasterxml.jackson.datatype.guava.deser.HostAndPortDeserializer:com.fasterxml.jackson.datatype.guava.ser.GuavaUnwrappingOptionalBeanPropertyWriter:com.fasterxml.jackson.datatype.guava.deser.util.RangeHelper:com.fasterxml.jackson.datatype.guava.deser.ImmutableMapDeserializer:module-info:com.fasterxml.jackson.datatype.guava.deser.multimap.set.LinkedHashMultimapDeserializer:com.fasterxml.jackson.datatype.guava.deser.TreeMultisetDeserializer:com.fasterxml.jackson.datatype.guava.deser.util.RangeHelper$RangeProperties:com.fasterxml.jackson.datatype.guava.GuavaModule:com.fasterxml.jackson.datatype.guava.deser.GuavaOptionalDeserializer:com.fasterxml.jackson.datatype.guava.deser.RangeSetDeserializer:com.fasterxml.jackson.datatype.guava.GuavaSerializers:com.fasterxml.jackson.datatype.guava.deser.GuavaMapDeserializer:com.fasterxml.jackson.datatype.guava.deser.multimap.list.LinkedListMultimapDeserializer:com.fasterxml.jackson.datatype.guava.deser.HashMultisetDeserializer:com.fasterxml.jackson.datatype.guava.ser.MultimapSerializer$1:com.fasterxml.jackson.datatype.guava.deser.HashCodeDeserializer
javax.inject:javax.inject:1	2	1	0	5	0		javax.inject.Inject:javax.inject.Provider:javax.inject.Qualifier:javax.inject.Scope:javax.inject.Named:javax.inject.Singleton
