Caller Method,Caller Library,Interface Name,Interface Library,Callee Method,Impl. Name,Impl. Library
net.javacrumbs.jsonunit.core.internal.Jackson2NodeFactory::readValue(Ljava/io/Reader;Ljava/lang/String;Z)Lnet/javacrumbs/jsonunit/core/internal/Node;,net.javacrumbs.json-unit:json-unit-core:2.28.0,com.fasterxml.jackson.core.ObjectCodec,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.databind.ObjectMapper::readTree(Ljava/io/Reader;)Lcom/fasterxml/jackson/databind/JsonNode;,com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.4
net.javacrumbs.jsonunit.core.internal.Jackson2NodeFactory::doConvertValue(Ljava/lang/Object;)Lnet/javacrumbs/jsonunit/core/internal/Node;,net.javacrumbs.json-unit:json-unit-core:2.28.0,com.fasterxml.jackson.core.ObjectCodec,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.databind.ObjectMapper::convertValue(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;,com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.4
