Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Label
org.apache.rocketmq.client.impl.MQClientAPIImpl::consumeMessageDirectly(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;J)Lorg/apache/rocketmq/common/protocol/body/ConsumeMessageDirectlyResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.ConsumeMessageOrderlyService::processConsumeResult(Ljava/util/List;Lorg/apache/rocketmq/client/consumer/listener/ConsumeOrderlyStatus;Lorg/apache/rocketmq/client/consumer/listener/ConsumeOrderlyContext;Lorg/apache/rocketmq/client/impl/consumer/ConsumeMessageOrderlyService$ConsumeRequest;)Z	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.MessageQueue::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	4	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.ConsumeMessageConcurrentlyService::consumeMessageDirectly(Lorg/apache/rocketmq/common/message/MessageExt;Ljava/lang/String;)Lorg/apache/rocketmq/common/protocol/body/ConsumeMessageDirectlyResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.common.RemotingHelper::exceptionSimpleDesc(Ljava/lang/Throwable;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.ProcessQueue::removeMessage(Ljava/util/List;)J	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.MessageExt::getQueueOffset()J	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.message.MessageExt::getQueueOffset()J	org.apache.rocketmq:rocketmq-common:4.9.1	2	false	false	ClientToLib
org.apache.rocketmq.remoting.common.RemotingHelper::parseChannelRemoteAddr(Lio/netty/channel/Channel;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	io.netty.channel.Channel::remoteAddress()Ljava/net/SocketAddress;	io.netty:netty-all:4.1.65.Final	io.netty.channel.socket.nio.NioSocketChannel::remoteAddress()Ljava/net/SocketAddress;	io.netty:netty-all:4.1.65.Final	99	false	false	LibToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::getBrokerConfig(Ljava/lang/String;J)Ljava/util/Properties;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
io.netty.util.internal.PlatformDependent0::javaVersion0()I	io.netty:netty-all:4.1.65.Final	public	io.netty.util.internal.logging.InternalLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V	io.netty:netty-all:4.1.65.Final	org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	1	false	false	LibToLib
org.apache.rocketmq.client.impl.factory.MQClientInstance::registerProducer(Ljava/lang/String;Lorg/apache/rocketmq/client/impl/producer/DefaultMQProducerImpl;)Z	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::warn(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::queryMessage(Ljava/lang/String;Lorg/apache/rocketmq/common/protocol/header/QueryMessageRequestHeader;JLorg/apache/rocketmq/remoting/InvokeCallback;Ljava/lang/Boolean;)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::addExtField(Ljava/lang/String;Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::invokeBrokerToResetOffset(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;JZJZ)Ljava/util/Map;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.ResetOffsetRequestHeader::setGroup(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl::start()V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.ServiceState::ordinal()I	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::getAllTopicConfig(Ljava/lang/String;J)Lorg/apache/rocketmq/common/protocol/body/TopicConfigSerializeWrapper;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getRemark()Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::viewMessage(Ljava/lang/String;JJ)Lorg/apache/rocketmq/common/message/MessageExt;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.NamespaceUtil::withoutNamespace(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.factory.MQClientInstance::sendHeartbeatToAllBroker()V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::warn(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
